users,times,text,topic,quote
"
yourfuture","
Опубликовано: 16 апр 2017
","

	Девочки, кто делал этот кератин, подскажите пожалуйста, что и как! У меня подружка в восторге вся, но хочется еще мнений услышать

",Beauty,
"
АнгеL","
Опубликовано: 17 апр 2017
","

	Ооо, я делала. Пришла к девочке-мастеру новой уже просто наобум, ну что будет то будет. А я до этого волосы намучила просто ппц... Она говорит, мол, я работаю на BC Original. Ну ок думаю, посмотрим. Отвалится так отвалится) И знаете, на удивление проходила почти уже три месяца с ним, волосы блестят до сих пор, вся укладка — посушил феном с термозащитой и пошел весь такой красивый и сияющий) Скоро второй раз к этой даме пойду, экспериментировать не хочется) Так что советую очень поискать мастеров, которые работают на этом составе, вот уж реально стоящая вещь
	 

",Beauty,
"
Крошка","
Опубликовано: 1 фев 2016
","

	Все наверное слышали, что дома сделать ламинирование волос не сложно, нужен только желатин. Ну решила и я попробовать, только что-то эффекта не обнаружила. Кто пробовал делать такую процедуру, оставьте отзывы, это вообще помогает?

",Beauty,
"
pkrymskaya","
Опубликовано: 2 фев 2016
","

	Такая процедура помогает, но если ее проводить систематически. Я результат увидела где то, через недели три регулярного применения. Так что, руки не опускаем, а продолжаем делать маски.  Вот мой результат



",Beauty,
"
Vilka_Pilka","
Опубликовано: 22 фев 2016
","

	в смысле регулярного применения? я думала ее стоит делать примерно раз в месяц. я делаю дома, мне очень нравится, но свою фирму надо найти еще самое главное

",Beauty,
"
zattana","
Опубликовано: 2 мар 2016
","

	у меня от желатина только тусклые волосы стали, никакого роста и эффекта ламинирования я не обнаружила.

",Beauty,
"
Лиана","
Опубликовано: 3 мар 2016
			
				(изменено)
			
			
			
		","

	А мне помогает, волосы гладкие и блестящие после желатиновой маски. Эффект в общем то был виден с первого раза. Может, вам просто не подошло.


Изменено 3 мар 2016 пользователем zattana

",Beauty,
"
Гость Антон","
Опубликовано: 13 апр 2016
","

	Я очень сомневаюсь, что с помощью желатина можно сделать выпрямление волос, думаю, что только создать иллюзию. Я единожды пробовала, но эффекта никакого не добилась по этому и не повторяла.

",Beauty,
"
Гость","
Опубликовано: 25 дек 2015
","
Здравствуйте!Подскажите, как узнать, что используется в салонах когда делается мезотерапия против облысения ? всмысле составУ меня дома есть мезороллер. Хотел бы что-то попробовать из полезных препаратов или витаминов, но что?
",Beauty,
"
Гость Антон","
Опубликовано: 25 дек 2015
","
хочешь попробовать сам? не боишься?У меня мама думала о таком, но ее знакомый (парикмахер, который сам прошел мезотерапию) сказал, что это больно, да и ему не помогло. Поэтому она не рискнула.
",Beauty,
"
Вероника999","
Опубликовано: 25 дек 2015
","
я общался с женщиной которая продает мезороллеры, но и не только их. она продает всякую такую вот продукцию для салоновтак вот она посоветовала гилауроновую кислоту, типа укрепляет корни волос, у нее салоны для этого покупаютну я рискнул, попробовал, месяца полтора раз в неделю делал. ничего страшного не произошло, хуже не стало, а насчет лучше - непонятно, вроде тоже не стало)) длина иголок 1мм - абсолютно не больно, бояться нечего
",Beauty,
"
Ласковая","
Опубликовано: 3 июл 2016
","

	Можете попробовать обратиться в специализированные клиники. Препараты должны быть качественные.

",Beauty,
"
Загадочная","
Опубликовано: 27 авг 2016
","

	Не знала, что гиалуронку можно наносить на кожу головы для волос. Весьма ценный совет!

",Beauty,
"
Настасья","
Опубликовано: 22 июл 2015
","
Девочки, я слышала, что можно ламинировать волосы дома и что это довольно эффективно, но при этом не так просто, если делать первый раз без помощи опытного человека. В парикмахерских это стоит дорого. Хочу научиться сама. А вы делали это сами?

",Beauty,
"
Загадочная","
Опубликовано: 22 июл 2015
","
В принципе вполне возможно дома провести ламинирование, только для этого нужно купить профессиональные средства для этого, которые стоят достаточно дорого. Но в любом случае домашнее ламинирование выйдет дешевле, чем в салоне.
",Beauty,
"
Валерочка","
Опубликовано: 23 июл 2015
","
А я слышала, что можно это делать с помощью обычного желатина. И что это очень даже эффективно. Даже ролики в ютюбе есть на эту тему, но я пока на себе еще не испытывала. 
",Beauty,
"
Дашуля","
Опубликовано: 23 июл 2015
","
А я пробовала делать маску популярную в контакте: яйцо с желатином. Эффект длится ровно день, хоть каждый день ее делай. Но волосы не портятся.
",Beauty,
"
Ксения","
Опубликовано: 23 июл 2015
","А яйцо полностью смешиваете или только желток? Мне говорили, что белок от теплой воды сворачивается прямо в волосах и потом его просто невозможно вычесать!!! С яйцом стоит быть осторожным. ",Beauty,
"
Фиона","
Опубликовано: 14 сен 2015
","
Лучше не делать профессиональную процедуру дома!Гнаться за красотой за 3 рубля-плохая примета. Единственное,дома можно нанести маску глубокого восстановления,например,Matrix Protopak,ну или другую и обработать волосы попрядно утюжком,предварительно завернув полотна утюжка в пекарскую бумагу,или использовав насадки специальные.
",Beauty,
"
Киана","
Опубликовано: 18 мар 2016
","

	Девочки, слышала о такой процедуре как ботокс для волос. Кто нибудь из вас проходил такую процедуру? В чем эффект? Я так понимаю что делается объем у корней. Я права? Как долго держится эффект от этой процедуры и стоит ли ее делать?

",Beauty,
"
Анетт","
Опубликовано: 20 мар 2016
","

	Слышала о такой процедуре, но говорят, что она не долгосрочная. Когда волосы отрастут, то ее нужно повторять. Я считаю, что эта процедура вредит волосам так как наносится на основание волоса. 

",Beauty,
"
Latinka","
Опубликовано: 26 мар 2016
","

	Хорошая процедура, но ее не хватает на долго. То есть через пару месяцев уже нужно будете делать повторную процедуру. А вообще - это отличная процедура по реконструкции волос.

",Beauty,
"
Тараканчик","
Опубликовано: 17 апр 2016
","

	Я не прибегаю к процедурам ботокса, ни для лица ни для волос.

",Beauty,
"
VioletaYa","
Опубликовано: 16 июл 2016
","

Я делала ботокс, ничего страшного или вредного для волос не заметила. Наоборот, волосы стали живыми, гладкими и блестящими, при этом сохранился объем. Жалко, что нельзя ее сделать на всю жизнь))) Держится около месяца, а потом волосы просто постепенно становятся такими, как были.

",Beauty,
"
Laska","
Опубликовано: 16 июл 2016
","

	я первый раз слышу что такое есть)) типа как кератирование??

",Beauty,
"
Kleo","
Опубликовано: 2 фев 2016
","

	Подруга с шестнадцати лет закрашивает седину. Она уже не представляет своей жизни без краски. А у меня не волоска. Генетика ... но я всё-равно не понимаю зачем её так маниакально прятать. Вы прячете? 

",Beauty,
"
ВалерияДомашняя","
Опубликовано: 3 фев 2016
","

	Конечно)

",Beauty,
"
Ptichka","
Опубликовано: 3 фев 2016
","

	Пока её нет, а так конечно буду скрывать. Седина не украшает женщину, мужчин -да.

",Beauty,
"
Калита","
Опубликовано: 8 фев 2016
","

	Так же не предрасположена к седине, но думаю со временем она всё же появится. Буду красить волосы. С моими русые волосами седина смотрится не благородно, а неряшливо! 

",Beauty,
"
pkrymskaya","
Опубликовано: 21 фев 2016
","

	Мне кажется что мы сами себе придумываем что это не красиво. Сами проблему придумали, сами побороли и сами молодцы - это чтоб не скучно было.)

",Beauty,
"
Very","
Опубликовано: 22 фев 2016
","

	у меня есть( уже в 23 года первые седые появились. я крашусь, а седые волоски под корень срезаю

",Beauty,
"
Xlina","
Опубликовано: 6 июн 2016
","

	Девочки, поделитесь своими секретами как делаете пучок из волос? Я люблю такие причёски, но у меня пока не очень получается, может я что-то делаю не так. Знаю, что есть много разных методов, расскажите о своих?

",Beauty,
"
Xuos","
Опубликовано: 15 июн 2016
","

	Проще всего использовать специальные штуки - валик или заколку с проволокой внутри. Так он и объёмнее получится, и аккуратнее, и легче делать, чем просто волосы собирать. 


	Берёте валик, обкручиваете его волосами, и готово. Можно закрепить шпильками или невидимками. 

",Beauty,
"
Kristi","
Опубликовано: 27 июн 2016
","
Я смотрела много видео на ютубе есть. Загляните туда. Даже на английском языке..
",Beauty,
"
Star","
Опубликовано: 7 фев 2016
","

	Как восстанавливать вопросы после химиотерапии? Все мы знаем, что последствия выглядят ужасно. Что делать в таком случае? Или лучше парик носить просто?

",Beauty,
"
Лиана","
Опубликовано: 7 фев 2016
","

	Знаете, в данном случае нужно восстанавливать организм в целом. Тогда и волосы начнут расти. И красивый вид приобретут. Но в первое время для собственной самооценки таки наверно лучше парик.

",Beauty,
"
Грета","
Опубликовано: 19 май 2016
","

	Просто состригать и увлажнять, другого варианта просто нет. Если волос уже не живой, то вариантов просто нет. У меня у знакомой так было ничего не помогло.

",Beauty,
"
Talita","
Опубликовано: 20 май 2016
","

	В таком случае просто взять и восстановить волосы не получится. В вашем случае требуется оздоровление всего организма, а уже, когда здоровый организм, и волосы растут красивые и сильные. А просто мазать бальзамами и масками вам ничего не даст. Это чисто внешнее воздействие, а ваша проблема внутри. 

",Beauty,
"
lena.a","
Опубликовано: 20 май 2016
","

	Ой, столкнулась когда-то с такой проблемой. Теперь зареклась, что химическую завивку волос делать не буду. 

",Beauty,
"
Гость Alenka","
Опубликовано: 24 май 2016
","

	после химии только отстригать...их уже не вылечишь

",Beauty,
"
Tatyana","
Опубликовано: 7 ноя 2017
","

	Девочки, подскажите, как реально избавится от мешков  под глазами?  

",Beauty,
"
Tatyana","
Опубликовано: 7 ноя 2017
","

	Проснувшись утром, в зеркале нам всегда хочется увидеть чистое и свежее лицо без каких-либо изъянов и недостатков. К сожалению, ситуация чаще такова, что многие девушки  стремятся поскорее умыться и замаскировать проблемные зоны толстыми слоями косметики и тонального крема.


	А как же  убрать мешки под глазами?


	Важно следовать нескольким нехитрым правилам:


	1. Пересмотреть своё питание. Возможно, ваш рацион слишком перенасыщен солеными продуктами - на утро все это отражается на лице в виде отеков.


	2. Вовремя принимать противогистаминные препараты  при наличии сезонных аллергий - иначе опухшие и слезящиеся глаза будут приносить не только эстетический, но и физический дискомфорт. Кстати, мешки также могут быть признаком того, что используемый крем для глаз или век вызывает реакцию раздражения - нужно срочно заменить его.


	3. Смывать макияж перед отходом ко сну - косметика вызывает прилив жидкости к глазной области. Лучше удалять мейкап специальными средствами для снятия макияжа.


	4. Избегать вредных привычек. Помимо общего негативного влияния алкоголя и куреня на организм, поглощение любимого спиртного напитка в больших количествах вызывает образование мешков после бурной ночной вечеринки, а табак превращает нежную и тонкую кожу под глазами  в сухой пергамент.


	5.  Спать на спине. Считается, что при положении лежа на животе или на боку кожа лица подвергается деформации, а сила тяжести притягивает воду к окологлазной зоне.


	6. Использовать  крема  с СПФ. Кожа вокруг глаз особенно нуждается в защите от ультрафиолетовых лучей, так как солнце вызывает ее преждевременное старение и провисание.


	7. Применять холодные компрессы и охлаждающие маски. Это снимет раздражение и уменьшит отек.


	8. Использовать гидрогелевые патчи для зоны вокруг глаз. Это инновационное косметическое средство, весьма популярное в Южной Корее и пришедшее в Европу оттуда же. Как правило, в патчах содержится высокая концентрация различных активных компонентов - витаминных комплексов, гиалуроновой кислоты, растительных экстрактов и вытяжек из ромашки, шалфея, алоэ и других полезных растений.


	9. Использовать консилеры и корректоры, которые не пересушивают кожу вокруг глаз. И вообще, со временем надо стараться свести их использование к минимуму - чтобы быстрее добиться естественного восстановления коллагеновых волокон.


	10. Больше спать!  Сон не менее 8 часов в сутки - это основное правило, для тех кто хочет иметь сияющую и молодую кожу.


	Отсутствие мешков сразу скинет пару-тройку лет их бывшей обладательнице!




",Beauty,
Как быстро убрать мешки в домашних условиях?,"
Опубликовано: 8 ноя 2017
","

	Что же делать, если рано утром в зеркале мы видим у себя под глазами мешки? Специальных косметических средств от мешков дома нет, и нужно срочно что-то предпринимать и приводить себя в порядок.


Как быстро убрать мешки в домашних условиях?


	Делюсь самыми простыми и быстродейственными  способами устранения мешков. 


	-  Чай в пакетах . Подойдет пакетик с  любым чаем,  черный или зеленый, неважно. Завариваем  пару пакетиков в горячей воде, и кладем на глаза. Проследите, чтобы пакетики  не  обжигали кожу глаз и были теплыми. Сверху накрыть лицо полотенцем и лежать 10 - 15 минут, до полного остывания пакетиков. Результат будет сразу же заметен.


	- Огурец. Нарезать огурец на ломтики и положить их в холодильник на 10-20 минут. Затем кладем на глаза и держим до согревания примерно 10 минут.


	- Контрастное умывание. Необходимо делать несколько раз в день, по мере необходимости. Чередуем умывание горячей(очень теплой) и холодной (ледяной) водой. Также можно использовать мешочки с завернутыми в них льдом на 1-2 мин.


	- Холодное молоко. Берем молоко из холодильника и смачиваем в нем ватные диски, затем кладем под глаза и держим 10-15 минут.


	- Алое Вера. Если у вас дома растет Алое, вы можете сделать компресс под глаза. Главное, чтобы сок растения не попал в глаза. Еще в этом чудесном растении много полезных веществ для кожи, витамин Е и антиоксиданты.


	- Белок яйца. Взбить белок вилкой до однородной консистенции и нанести по глаза. Оставить до высыхания затем смыть теплой водой. Возвращает коже упругость и убирает мешки под глазами.


	- Сырой картофель. Натрите на терке одну картофелину, кашицу из картофеля разложите на два  тканевых мешочка и положите на глаза на 15 минут. Это очень полезное и эффективное средство против отеков под глазами. Кожа становится бархатистой.


	- Морская соль и Горячая вода. Возьмите чайную ложку морской соли и растворите её в стакане горячей воды. Смочите в растворе ватные диски, убедившись что вода не слишком горячая. Положить на глаза, держать до получаса.


	- Клубника. Поместить ягоды в морозилку на полчаса. Нарезать на толстые ломтики и положить на глаза. Держим 10-15 мин. Результат увидите сразу же!


 


	- Петрушка. Берем пучок петрушки, мелко, мелко режем ножом. Затем разминаем ложкой до выделения сока.  Помещаем в холодильник на 30 мин, затем наносим под глаза. Так же можно, полученную кашицу из петрушки смешать с чайной ложкой сметаны. Это придаст коже упругость.  Данное средство, помимо мешков  избавит вас и от синяков под глазами. 


	Пользуйтесь на здоровье! Будьте внимательны к себе, и если вы  уверены, что это не проявление заболевания, то используйте народные средства.

",Beauty,
Чай в пакетах . ,"
Опубликовано: 10 ноя 2017
","

	Я использую ватные тампоны, смоченные в чёрном чае и кусочки льда с настоем из разных трав.

",Beauty,
Огурец,"
Опубликовано: 10 ноя 2017
","

	патчи попробуйте. я брала пару раз (Либридерм на пробу) супер просто эффект. ни мешков ни синяков. лицо посвежело после них прям)

",Beauty,
"
Darling","
Опубликовано: 10 ноя 2017
","

	А вы где их покупали (патчи)? в аптеке?

",Beauty,
"
Ольга 77","
Опубликовано: 30 июн 2018
","

	Я пока что на блефаропластику коплю. Когда много пью вечером и на утро отеки, мажу под глаза Венолайф (гель такой), у него сильный противоотечный эффект. Начала им ноги мазать от варикоза а потом открыла эффект на лице))))

",Beauty,
"
Кристи","
Опубликовано: 30 июн 2018
","

	Есть хороший вьетнамский крем для кожи вокруг глаз, за 2 месяца все уберете. Реально, на своем опыте проверила.

",Beauty,
"
Анастасия Тихвинская","
Опубликовано: 21 июл 2018
","

	Мне аевит понравился с черникой (либридерм), очень бережно и нежно ухаживает за кожей вокруг глаз) все, что надо подтягивает, что надо - маскирует) 

",Beauty,
"
Жукентия","
Опубликовано: 22 авг 2018
","
	Такой не видела у них. Я тоже брала крем для ухода за кожей вокруг глаз у либри, я брала гиалуроновый, он отлично убрал и отечность и сухость предотвратил, и главное синяки все ушли ))))
",Beauty,"

			Мне аевит понравился с черникой (либридерм), очень бережно и нежно ухаживает за кожей вокруг глаз) все, что надо подтягивает, что надо - маскирует) 
		
"
"
Augustina","
Опубликовано: 28 авг 2018
","

	нужно почитать обо всем этом

",Beauty,
"
MilanaMolova","
Опубликовано: 29 авг 2018
","

	полезностей столько накидали!) спасибочки)

",Beauty,
"
evgsmir","
Опубликовано: 6 окт 2019
","

	Долго искала хорошую гиалуроновую серию, мне виши как раз таки не подошла. Насчет либридерма согласна, очень хорошая, второй год филлер  беру гиалуроновый их, на подделку никогда не натыкалась, всегда заказываю или беру в проверенных аптеках. 

",Beauty,
"
Augustina","
Опубликовано: 10 окт 2019
","

	Мне нравится прикладывать чайные пакетики из холодильника, спасают по круче чем патчи:-)

",Beauty,
"
Гость itapal","
Опубликовано: 11 окт 2019
","

	спасибо большое! полезная информация)

",Beauty,
"
Гость","
Опубликовано: 5 ноя 2019
","
Ciao a tutti vengo dall'italia
",Beauty,
"
Гость","
Опубликовано: 13 ноя 2019
","

	Попробуйте Эссенцию для кожи вокруг глаз от Whamisa,мне помогает справится с отечностью)


	 

",Beauty,
"
Lika","
Опубликовано: 8 дек 2019
","
	Привет
",Beauty,"

			Проснувшись утром, в зеркале нам всегда хочется увидеть чистое и свежее лицо без каких-либо изъянов и недостатков. К сожалению, ситуация чаще такова, что многие девушки  стремятся поскорее умыться и замаскировать проблемные зоны толстыми слоями косметики и тонального крема.
		

			А как же  убрать мешки под глазами?
		

			Важно следовать нескольким нехитрым правилам:
		

			1. Пересмотреть своё питание. Возможно, ваш рацион слишком перенасыщен солеными продуктами - на утро все это отражается на лице в виде отеков.
		

			2. Вовремя принимать противогистаминные препараты  при наличии сезонных аллергий - иначе опухшие и слезящиеся глаза будут приносить не только эстетический, но и физический дискомфорт. Кстати, мешки также могут быть признаком того, что используемый крем для глаз или век вызывает реакцию раздражения - нужно срочно заменить его.
		

			3. Смывать макияж перед отходом ко сну - косметика вызывает прилив жидкости к глазной области. Лучше удалять мейкап специальными средствами для снятия макияжа.
		

			4. Избегать вредных привычек. Помимо общего негативного влияния алкоголя и куреня на организм, поглощение любимого спиртного напитка в больших количествах вызывает образование мешков после бурной ночной вечеринки, а табак превращает нежную и тонкую кожу под глазами  в сухой пергамент.
		

			5.  Спать на спине. Считается, что при положении лежа на животе или на боку кожа лица подвергается деформации, а сила тяжести притягивает воду к окологлазной зоне.
		

			6. Использовать  крема  с СПФ. Кожа вокруг глаз особенно нуждается в защите от ультрафиолетовых лучей, так как солнце вызывает ее преждевременное старение и провисание.
		

			7. Применять холодные компрессы и охлаждающие маски. Это снимет раздражение и уменьшит отек.
		

			8. Использовать гидрогелевые патчи для зоны вокруг глаз. Это инновационное косметическое средство, весьма популярное в Южной Корее и пришедшее в Европу оттуда же. Как правило, в патчах содержится высокая концентрация различных активных компонентов - витаминных комплексов, гиалуроновой кислоты, растительных экстрактов и вытяжек из ромашки, шалфея, алоэ и других полезных растений.
		

			9. Использовать консилеры и корректоры, которые не пересушивают кожу вокруг глаз. И вообще, со временем надо стараться свести их использование к минимуму - чтобы быстрее добиться естественного восстановления коллагеновых волокон.
		

			10. Больше спать!  Сон не менее 8 часов в сутки - это основное правило, для тех кто хочет иметь сияющую и молодую кожу.
		

			Отсутствие мешков сразу скинет пару-тройку лет их бывшей обладательнице!
		



"
"
Diana","
Опубликовано: 21 июл 2015
","

	Давно мне мешают черные точки на лице, особенно много их на носу и области возле носа. Покупала целые серии средств для борьбы против них, но особо ничего не помогало. Может есть какие-то способы избавиться от них надолго?

",Beauty,
"
kitty","
Опубликовано: 23 июл 2015
","
У меня когда-то была такая проблема, еще на первых курсах университета. Избавилась от нее довольно просто, умывала с мягкой щеточкой два раза в день и раз в неделю пользовалась скрабом. Продолжаю эти процедуры до сих пор, кремами почти не пользуюсь, особенно тональными - кожа идеальная. 
",Beauty,
"
Горошина","
Опубликовано: 26 июл 2015
","
Акне появляется по разным причинам и косметика - это одна из них. Я стараюсь использовать мало тональных кремов, пудр и т.п. и у меня все нормально с кожей. Можете попробовать. Еще один вариант - косметолог, моя подруга благодаря косметологу избавилась насовсем от черных точек. Вот уже 10 лет все нормально. Правда, я не знаю, какой именно косметикой пользовалась косметолог.
",Beauty,
"
lentosik","
Опубликовано: 27 июл 2015
","
1) Пересмотрите своё питание ( Попробуйте устроить себе диету на 3-4 дня. Откажитесь от соли, сахара, жареного и всего вредного. Не курите и не употребляйте алкоголь ). Если лицо очистится, то причина прыщей в питании2) У Вас нет хронических заболеваний ( гинекология, желудок, почки, эндокринная система )? 3) Если нет заболеваний, то попробуйте зинерит, он хорошо помогает 
",Beauty,
"
Dereza","
Опубликовано: 30 июл 2015
","
Попробуйте Очищающий набор ""Анти-акне"" Cosmedix Clear Kit, это набор очищающих средств для жирной и проблемной кожи - трехступенчатая система для эффективного очищения жирной и проблемной кожи. Эти средства позволят избавиться от гнойничков и забитых пор. Также удаляют отмершие частички кожи и избыток кожного сала. Очень хороший набор. Я такой покупала в магазине pink-girl, посмотрите там.
",Beauty,
"
Гость мари$$а","
Опубликовано: 5 авг 2015
","
Советы про пересмотру питания очень актуальны, так как состояние кожи зависит от питания очень сильно. А сами высыпания можно зинеритом обрабатывать. Конечно, не забывайте про использование специальной косметики, подходящей вашей коже. и маску с белой глиной раз в неделю.
",Beauty,
"
Lera_Ru","
Опубликовано: 16 ноя 2015
","Про Хеликс знаю, но у нас в Хеликсе, что у меня рядом с домом, нету дерматолога или косметолога. Можно как-то эти  анализы самостоятельно сделать, как думаете? И про инолексин хочу узнать, ""довольно долго"" это сколько? Просто я например болтушку с антибиотиком использую уже больше месяца и мне как-то особенно не помогает. думаю, может просто мало времени еще прошло? Или уже пора добавить лечение изнутри?",Beauty,
"
Гость","
Опубликовано: 19 ноя 2015
", ,Beauty,
"
Гость мари$$а","
Опубликовано: 19 ноя 2015
","
А я стала пользоваться лосьоном и гелем Анти-акне серии ""До и После"". Они аптечные.Срок ещё небольшой, но уже хочу сказать, что гель очень хорошо подсушивает прыщики,и за ночь у меня заметно сошла краснота,а самое для меня главное это то что ушла болезненность прыщиков.В составе - масло чайного дерева, календула-антисептик, ромашка-мягкий антисептик,осветляет кожу,успокаивает её, арника и цитрат серебра.  
",Beauty,
"
Uzena","
Опубликовано: 27 ноя 2015
","спасибо за подробные разъяснения! )))Я так еще по интернету посмотрела, про минолексин многие пишут, что он в тяжелых случаях с акне чуть ли не последнее решение. Возможно это как раз мой случай, так как чисто внешние средства борьбы с прыщами уже испробованы все какие можно. Пойдуу сдаваться врачам! )))",Beauty,
"
Lera_Ru","
Опубликовано: 4 дек 2015
","У меня самое обидное, что и питаться правильно стараюсь, но все равно кожа лица не чистая, вот не знаю на что так реагирует. Проверяла недавно кишечник, так как побаливал сказали здорова. Но все же говорят, что высыпания напрямую связаны с проблемами в кишечнике. Вот и как разобраться во всем этом? А кровь сдавали тоже в фрау, как там ценник на анализы? ",Beauty,"

			Есть специальное средство в корейской косметике, название не помню, это такой крем в виде яйца, отзывы хорошие. Сама хочу попробовать.
		
"
"
Augustina","
Опубликовано: 9 дек 2015
", ,Beauty,
"
OlgaOlga_5","
Опубликовано: 22 авг 2017
","

	мне помогают чистить акне черные полоски на нос клеятся или на лоб) у меня только на носу)

",Beauty,
"
Мариsha","
Опубликовано: 22 авг 2017
","

	Мне очень хорошо чистит кожу ""Аквамарина"" - очищающее средство от Лаш. Кроме действия, мне очень нравится запах и консистенция этой умывалки. Единственное - умываться этим средством нужно регулярно, чтобы поддерживать чистоту кожи, раз и навсегда, кардинально это средство от угрей не избавляет.

",Beauty,
"
Augustina","
Опубликовано: 5 сен 2017
","

	ultracuiticals - уход дома и в салоне. поможет! ходила в эвита студио на процедуры, все гуд

",Beauty,
"
Василек","
Опубликовано: 6 сен 2017
","

	к косметологу сходить как вариант, на чистку)

",Beauty,
"
Sova","
Опубликовано: 12 сен 2017
","

	Да чистка по-моему не особо-то помогает. Видела я девочек после нее, все лицо красное, а через время опять прыщи( Надо искать причину и лечить ее, высыпания могут быть вызваны чем угодно. Мне ретасол хорошо помог от прыщей, когда проблемы с ЖКТ были, вылечилась, ретасолом мазалась - все прошло) Кожа чистая

",Beauty,
"
Sonetta","
Опубликовано: 9 ноя 2017
","
	Я была одной из таких девочек после чистки в салоне, бедная моя кожа. У мамы даже радевит брала чтобы восстановить. Лицо было все красное, болело, а изменений особо и не было.  Я сама дома с прыщами и то лучше справляюсь.
",Beauty,"

			Да чистка по-моему не особо-то помогает. Видела я девочек после нее, все лицо красное, а через время опять прыщи( Надо искать причину и лечить ее, высыпания могут быть вызваны чем угодно. Мне ретасол хорошо помог от прыщей, когда проблемы с ЖКТ были, вылечилась, ретасолом мазалась - все прошло) Кожа чистая
		
"
"
Кассиопея","
Опубликовано: 11 апр 2018
","

	 Печалька((( я как раз созрела на лазерный пилинг, теперь снова в сомнениях. А заманчиво так – разик отмучиться и на этом поиметь нормальную кожу 
",Beauty,
