users,times,text,quote,topic
 Гость ," 18 марта, 01:00 ","Специальность ""Туризм"". Но тем не менее чтобы устроиться администратором в отель или турагенство, почти везде хотят образование в данной сфере.",,Education
 Гость ," 18 марта, 01:04 ","А для меня юридические специальности самые бесполезные. Потому что большинство идет на них ибо ""престижно"" или ""я хочу быть прокурором"". А менеджмент - хорошая специальность, так как это, по сути, руководитель в любой фирме или организации. Как дополнительная, вторая специальность вполне полезна",,Education
 Гость ," 18 марта, 01:08 ","Да и вообще, все эти курсы менеджмента - это популизм чистой воды. Прежде всего нужен научный, системный подход, а не пара книжек о том, как заработать миллион и построить всех подчинённых. Это же и экономическая теория, и социология, и психология и стратегическое планирование. Не равняйте менеджмент с курсами маникюра",,Education
 Гость ," 18 марта, 01:17 ","Речь о бесполезности, а не невостребованности. Для юриста действительно важно юридическое образование, и неважно, востребовано оно в данный момент или нет. А менеджером предприятия, например, технического, можно стать после технического образования. Менеджмент в виде магистратуры, переквалификации хорош, но не как основное образование, после которого тебя без опыта никуда не возьмут.","А для меня юридические специальности самые бесполезные. Потому что большинство идет на них ибо ""престижно"" или ""я хочу быть прокурором"". А менеджмент - хорошая специальность, так как это, по сути, руководитель в любой фирме или организации. Как дополнительная, вторая специальность вполне полезна",Education
 Гость ," 18 марта, 01:17 ","В корне у вас неверное представление о полезности, бесполезные это где надо усилия прилагать а потом получать копейки это всякое госуправление, педагогическое образование, налоги, таможня.А с хорошими управленцами приятно вести дела, чем с рвачами из захолустья, они лучше настроены на win win и просто культурные люди самые лучшие воспоминания о такихЕсли кто то учится на физика ядерщика или скульптора или на хореографа то это его дело, а ваши рассуждения типа «гыгыгы, лузер с корочкой я в мак и продажником и так могу пойти работать» бесполезны и вы мыслите не с той стороны что значит «возьмет» это Адам берет Еву, а люди покупают компетенции, один ресурс меняют на другой - деньги на скиллы и продают их потом, а не ждут что их «возьмут». То что вы видите это внешнее может бомж быть а на счету десятки миллионов или потенциал заводом управлять или фирмой крупной или галлереей.",,Education
 Соффита ," 17 марта, 19:49 ","Сейчас учусь в универе на 2 курсе по направлению «туризм» и вот не понимаю, все педагоги, которые преподают Предпринимательство, Основы туризма и тд., сами только получили диплом аспирантуры и преподают, ВСЁ! Явно ведь полезнее было бы учится у людей-практиков. И вот вопрос, раз ты преподаешь предпринимательство, почему же у тебя у самой бизнеса то никакого нет? И второй момент, учеба на туризме предполагает открытие своей турфирмы, своего бизнеса, тк пойти менеджером в турфирму и продавать туры может любой и без образования. И опять же ни у одного преподавателя нет своей турфирмы, как так? А спикеры со своими фирмами, которые к нам приходят и вовсе не учились на туризме. И вот куда я потом с этим дипломом?",,Education
 Василий ," 17 марта, 19:58 ","Фиг знает, для чего вы учитесь! Каждый всё делает для себя. Не хотите - не надо.",,Education
 Ирина ," 17 марта, 19:59 ",С умным видом в лучшую турфирму. Куда не берут без диплома.А потом открыть свою дочку от неё.,,Education
 zen ," 17 марта, 20:16 ","образование необходимо для выполнения высококвалифицированных функций, недоступных необразованному человеку. Оно может быть самообразованием, образованием у мастера, образование в группе. Диплом это будет или некий сертификат или вообще отсутствие чего либо ... не имеет значение.",,Education
 гусь ," 17 марта, 20:21 ",ты сделала правильные выводы. дипломы для пидзоболов и планктона. акулой рождаются.,,Education
 Гость ," 17 марта, 20:30 ","Вы выбрали самую тупую специальность для высшего образования... Ваш диплом никак не поможет вам по жизни. Надо было выбрать что-то более актуальное. А работать в сфере туризма можно вообще с образованием девяти классов.Надо было думать, куда поступать. Кем вы хотели стать после окончания обучения?Меняйте специальность, пока не поздно.",,Education
 Автор ," 16 марта, 20:51 ","Здравствуйте! мне крайне важно найти информацию о болезнях и недугах вызванных смешением, казалось бы безобидных генов. Как допустим белый цвет шерсти и голубые глаза у кошек вызывают глухоту. Вот мне нужно примерно то же, только про людей. Знаете подобные факты?",,Education
 Гость ," 17 марта, 11:46 ","Пара. Молодые, по 20 лет. Любовь. Первая беременность- выкидыш на позднем сроке, аномалии развития плода. Вторая беременность то же самое. Прошли в МСК генетич. тесты, оказалось, что у них генетическая несовместимость. Разошлись. У него и у нее во вторых браках здоровые дети. Щкола для умственно отсталых детей в ХМАО, там работала моя подруга. Это дети-полукровки, смешение русских, ханты и манси., а также приезжих таджиков, украинцев .Дебильность. В школе обучалось не первое поколение, а уже дети выпускников этих школ. И с каждым поколением деградация увеличивалась. Может, не к теме, но повальный алкоголизм среди малых народов способствует вырождению.",,Education
 Анна ," 17 марта, 13:29 ","есть такой сайт ринц, там научные статьи в открытом доступе, это электронная база-библиотека, там поищите по ключевым словам, есть еще сайт киберленинка, там тоже статьи в открытом доступе. научная работа пишется на основе данных, на основе на анализа литературы, официально проведенного опроса, так что собирать данные путем форума неправильно.",,Education
 Василий ," 17 марта, 19:59 ",Так не бывает....,,Education
 Диана ," 17 марта, 09:44 ","Добрый день, нужен совет. Я планирую поступать на логиста и в дальнейшем переехать за границу ( сша/германия/китай). На сколько знаю у логистов есть международные связи. Подскажите, как я могу переехать за границу с образованием логиста ? Могут ли меня отправить в эти страны по работе ?Что нужно сделать для этого ?",,Education
 Гость ," 17 марта, 10:10 ","Автор, вы из какой страны? Если из России, то в нынешней ситуации ваш вопрос очень странен.",,Education
 Василий ," 17 марта, 10:20 ","Рассказываю. что никуда вы не уедете. Там своих хватает. Тем более, что работа у этой категории трудящихся не зависит от места проживания.Можно разбираться с транспортными потоками откуда угодно, хоть из вашего Мухосранска....И это не вопрос образования, нисколько.",,Education
 Deranker ," 17 марта, 10:23 ","рабочая виза, но надо быть реальным специалистом",,Education
 qk ," 17 марта, 11:30 ","Рабочая виза нужна, нострификация диплома, без нострификации вы за границей - никто, ну если только блогером по переезду не станите, как многие.",,Education
 Гость ," 17 марта, 14:19 ","Да нет никаких связей идея ваша дурацкая, если вы в России миллионером станете то сможете уехать, а спецов своих хватает, да и идея у вас дурацкая вам промыли мозги, что за границей лучше, меняйте окружение чтобы дурь выбить из башки.",,Education
 Мешок ," 17 марта, 02:16 ","Всем привет, обучаюсь на 1 курсе, но уже хочу бросить и поступить в другой вуз. Мать категорически против, говорит, что надо потерпеть и доучиться. Мать у меня абьюзер, хотя сама этого не признает. Я живу в постоянном давлении. Учась в школе, мне не верили, что моя учительница меня ненавидит и травит. Мать думала что я ей просто вру об этом. в старших классах она уже поняла что к чему и правда начала мне больше доверять. А теперь всё вернулось назад, снова недоверие, придирки. Я ходила к психотерапевту, поставили диагноз, тревожная депрессия, пила антидепрессанты, лечилась короче. Параллельно доказывала матери, что я не просто ленюсь что-либо делать, это заболевание. На лечение брала деньги у мамы, а она говорила что мне это не нужно. По итогу из-за чувства вины, что я трачу деньги впустую я бросила лечение, и все стало хуже. Я вообще ничего не могу делать, я считаю себя никчемной, я просто хочу исчезнуть. Мать продолжает называть меня ленивой и всячески говорит, что разочарована во мне. Возращаемся к тебе с вузом... Мне запрещают его бросать. Но я ведь правда хочу учиться, только в другом месте! Так то я поступила на бюджет, жаль конечно, что я могу его просрать, но блин, я так больше не могу. Жизнь с матерью больше не рассматриваю как хороший вариант, планирую без ее ведома отчислиться и уехать в другой город к подруге, и поначалу жить у нее, квартира двухкомнатная. Устроюсь на мелкую работу, отложу денег (мать с отцом в разводе, но отец скидывает мне периодически денег) и поступлю в другой вуз. Либо пересдам егэ на более высокий балл и постараюсь попасть на бюджет. Но все же я очень боюсь этого, я слишком привязана к матери. Я боюсь что стану для нее обузой. Не знаю что делать #образование",,Education
 Ебокотик ," 17 марта, 07:36 ","Пахать тебе надо, чтобы на мысли о депрессии сил не оставалось 😀",,Education
 Гость ," 17 марта, 08:49 ",Бред какой то...,,Education
 Гость ," 17 марта, 08:59 ","Не руби сплеча, закончи 1 курс, а вдруг захочешь восстановиться? Очень трудно выбрать, очень. Другой вуз кажется привлекательным, а вдруг тлже не понравиться, и можно восстановиться на 2 курс в тот же вуз. Ну и надо конечно сердцем выбирать. Мне тоже не позволили бросить, вроде как годы потерянные, теперь не люблю всю жизнь бухгалтерию, ненавижу сидячую работу, но сил и ресурсов не хватит уже что-то поменять.... Лучше сделать и пожалеть, чем не сделать и жалеть всю жизнь и обвинять родителей. Но лучше 1 курс экзамены сдать, т. к все равно поступать в конце лета.",,Education
 Гость ," 17 марта, 10:06 ","А подруга в курсе, что у нее в квартире будет жить бездельница в поиске себя?",,Education
 Гость ," 17 марта, 10:08 ","бред какой то.....так и будете метаться ""в поисках себя"", новый вуз тоже не понравится, потому что вы просто ленивая, автор. Мать жалко вашу....ну мужа ищите, присядете на шею мужику - может, жизнь и сложиться, раз учиться и работать вам лень",,Education
 Валерия ," 17 марта, 00:01 ","Добрый день,посоветуйте что лучше: логист или переводчик немецкого и английского. Я люблю изучать языки и хотела бы переехать за границу (канада/люксембург) после обучения, на сколько я знаю у логистов есть связи за рубежом, какое образование будет выгодней получить, чтобы не бомжевать? #образование",,Education
 Гость ," 17 марта, 00:27 ","Заниматься тем, что любишь это хороший мотиватор. Иди в переводчики.",,Education
 Гость ," 17 марта, 00:30 ","Переводчик, думаю, лучше. Логистика - это тяжелая и ответственная работа.Да и со знанием языков у вас будет еще больше плюшек",,Education
 Гость ," 17 марта, 01:34 ","Переводчик это не профессия, если вы уже не родились в семье элиты и у вас тройная румынско еврейско дворянская фамилия и куча денег, в ЕС и так повсеместно знают языки, тем более в Канаде и Бельгии. Если хотите корочку переводчика то поступите в институт где можно быть логистом и дополнительно получить диплом переводчика, во многих ВУЗах студенты параллельно переподготовку проходят как переводчик.",,Education
 Гость ," 17 марта, 06:48 ","Каких плюшек? После образования переводчика она будет безработной, максимум репетитор. Где она работать то будет?","Переводчик, думаю, лучше. Логистика - это тяжелая и ответственная работа.Да и со знанием языков у вас будет еще больше плюшек",Education
 Василий ," 17 марта, 10:27 ","Опять она про логистов песню поёт! Достала. Какие нафиг логисты ей? Вот что она может понимать в этом? Языки ей надо. С кем разговаривать она будет на этих языках?Валерия! Сходите в организацию, которая занимается перевозками. Поговорите. Узнаете у диспетчеров про их круглосуточную работу. Про мучеников-дальнобойщиков.... Про ратников складов и всяких там центров.... Лично поколупайтесь в этом дерьме. а то - ЛОГИСТЫ!",,Education
 Аноним ," 16 марта, 21:06 ","Здравствуйте, мне нужен совет по поводу выбора моего образования.Я окончила бакалавриат по зарубежной филологии (англ. + франц. языки). Летом я решила поступить в магистратуру на переводчика, однако сейчас я понимаю, что преподаватели не дают нормальных знаний, но при этом требуют много того, на что уходит большое количество времени и это бесполезно. Вдобавок к этому я поняла, что работа переводчиком (тем более с такими языками) это сложно, не востребовано, и, в целом, не мое. Только поступив я осознала, что не хочу заниматься этим всю жизнь. Не считая этот год, мне остался еще один, но я чувствую, что просто трачу время ради корочки, + эту «учебу» невозможно совмещать с работой. Что вы посоветуете? Я думала пройти какие-то доп курсы по другим профессиям (менеджмент/реклама, возможно вы посоветуете какие-то курсы и какую-то специальность, которая будет хорошим дополнением к знанию языков), либо начать готовиться к поступлению на полную магистратуру в другой вуз и на другую специальность. Или же оставить учебу (будь как будет) и просто идти работать, куда возьмут. И нужна ли вообще сейчас магистратура, учитывая новости об отмене болонской системы. #образование",,Education
 Гость ," 16 марта, 21:12 ","только медицина будет актуальна во все времена, и в любой ситуации",,Education
 Гость ," 16 марта, 21:15 ","Закончите эту магистратуру. Если есть время, то закончите курсы и подрабатывайте.",,Education
 Гость ," 16 марта, 21:35 ",наверно лучше всего вам попробовать искать работу по знакомству,,Education
 Гость ," 16 марта, 21:35 ","Туризм, гостиничный бизнес, с языками подойдёт",,Education
 Гость ," 16 марта, 22:02 ",а кто туда берет с улицы?,"Туризм, гостиничный бизнес, с языками подойдёт",Education
 Алина ," 16 марта, 21:04 ","Здравствуйте! Посоветуйте, пожалуйста, онлайн репетитора по английскому языку, который подготовит к ЕГЭ, поможет заговорить и улучшит произношение! Спасибо!",,Education
 Василий ," 17 марта, 10:29 ",Так вы ещё и безграмотная!!!??? Ко всем своим бедам....,,Education
 feliciya ," 17 марта, 13:08 ","Сестре нашла Think24, большая школа. Занимается год, шпарит на английском, как на родном) Подарила ей курс, чтобы втянулась да оценки улучшила. А она и выпускные экзамены собралась сдавать. Лёгких вам знаний)",,Education
 Алина ," 19 марта, 08:09 ",Спасибо!,"Сестре нашла Think24, большая школа. Занимается год, шпарит на английском, как на родном) Подарила ей курс, чтобы втянулась да оценки улучшила. А она и выпускные экзамены собралась сдавать. Лёгких вам знаний)",Education
 Автор ," 16 марта, 18:16 ",хочу сдать впр,,Education
 Гость ," 17 марта, 01:46 ","Если русский то на грамоте ру проходите интерактивные диктанты, если алгебра то сидите и занимайтесь решая много примеров. Если сонливость и не можете сосредоточиться то душ принимайте и когда выходите последние 3 минуты стойте под прохладной водой, днем чай пейте или кофе, с утра выходите на улицу на 20 минут.",,Education
 Автор ," 16 марта, 17:14 ","могут ли меня не аттестовать по физ-ре,если у меня есть 3 оценки(из которых выходит 3 в четверти),но пропусков больше 50%?",,Education
 Königin ," 16 марта, 18:01 ","Могут наверное, но не будут.Тем более физра 😂У школы будет больше проблем, чем у вас. Они так всех пугают, а по итогу абсолютно всем 3-ки рисуютИ, о ужас, даже обязанны брать всех в 10-11 класс 😂 даже со всеми нарисованными 3-ми и 1000+ прогулов 😉Все учителя и директор изо всех сил сопротивляются, отговаривают, угрожают. Но взять обязаны😂😂",,Education
 Гость ," 16 марта, 18:01 ","Теоретически, могут. Есть какой-то закон, что при наличии какого-то количества пропусков могут оставить на второй год. Но в реальности никто не будет этим заморачиваться. Вам и вашим родителям выедят весь мозг, но в итоге все равно поставят 3. Чтобы снизить накал мозговыноса попросите какой-нибудь доклад или реферат.",,Education
 Василий ," 17 марта, 10:30 ","Поставят тройку, успокойтесь. И не пишите больше.",,Education
 Алиса ," 16 марта, 15:41 ",«Строительство и эксплуатация зданий и сооружений»«Строительство и эксплуатация автомобильных дорог и аэродромов»,,Education
 avtorф ," 16 марта, 16:12 ",наверное первое,,Education
 болт ," 16 марта, 16:35 ","Турки явно накосячили, строили дома без железной арматуры.жесть",,Education
 Гость ," 16 марта, 16:37 ",дороги,,Education
 Яяя ," 16 марта, 16:55 ","Здания сложнее, дороги проще",,Education
 Гость ," 16 марта, 17:18 ","Первое. Больше вариантов для работы, вы сможете работать и в жилом и в промке, или вообще на линиях.Плюс всегда есть подработка.",,Education
 Александра Мельц ," 16 марта, 15:24 ","Здравствуйте! Подскажите пожалуйста, как готовиться к ""Дельта тесту "" ? Мне нужна демоверсия по специальности -судоводитель. Прошу вас писать ответы по делу , а не всякую ерунду!",,Education
 Гость ," 20 марта, 22:39 ",Скачай на андроид c mate delta и будет счастье,,Education
 Гость ," 20 марта, 22:40 ",C mate дельта приложение для андроид в play market,,Education
 Автор ," 16 марта, 15:05 ",Какую специальность лучше выбрать?,,Education
 Гость ," 16 марта, 15:49 ","Любую, которую потянешь, но лучше маляршей, так надежнее для твоих, прости господи, ""умственных способностей"".",,Education
 Автор ," 16 марта, 09:42 ","Здравствуйте! Я учусь в 11 классе и до этого собиралась идти в медицинский университет,потому что не знала куда поступать, а родители посоветовали медицинский. Мне прямо в тягость готовиться к экзаменам и учить химию. Мне это не интересно, но вроде выбрала предметы и скоро экзамены. В последнее время мне стала интересна экономика, менеджмент, управление бизнесом и подобные направления. Я с детства хотела в будущем открыть свой бизнес или быть сотрудником подобных компаний. Если я буду поступать на экономику, то мне придется сдавать егэ в следующем году , но тоже страшно просидеть год дома. Не знаю как отнесутся к этому родители, ведь я и так не отличница, особых увлечений языками у меня нет, а огромные деньги потраченные на подготовку в медицинской есть. У меня есть 2 варианта: отучиться на врача ,а позже, являясь замужней мадам ,осваивать сферу бизнеса или просидеть год дома, подготовиться к экзаменам и поступить на экономический. #образование #подростки",,Education
 Камилла ," 16 марта, 09:56 ",Медик. Только не эконом фак. Сама отучилась. Работы ноль.,,Education
 Гость ," 16 марта, 10:00 ","А есть где потом работать после экономического? Потому что экономистов сейчас, как собак полно, никому выпускники не нужны, так что, хоть и понимаю ваше наивно-детское ""хочуууу"", но вы уже почти взрослый человек и уже пора понимать реалии жизни, что не все по вашим желаниям в мире делается.",,Education
 Харли Квинн ," 16 марта, 10:07 ","Автор, у меня наоборот) С детства мечтала стать медиком, родители настояли на экономическом. В итоге, работу свою НЕНАВИЖУ. С дипломом экономиста работа будет в любом офисе, это без проблем. Вопрос в том...а нравится ли вам это? Перекладывать бумажки с 9 до 18 и так каждый день😫",,Education
 Камилла ," 16 марта, 10:09 ","С дипломом экономиста, только экономистом.Менеджером или маркетологом не берут, как 10 лет назад, новые правила. Даже в библиотеку нельзя.Врач з/п 16 тыс.","Автор, у меня наоборот) С детства мечтала стать медиком, родители настояли на экономическом. В итоге, работу свою НЕНАВИЖУ. С дипломом экономиста работа будет в любом офисе, это без проблем. Вопрос в том...а нравится ли вам это? Перекладывать бумажки с 9 до 18 и так каждый день😫",Education
 Гость ," 16 марта, 10:10 ","Автор, подумайте ещё, и выберите другую профессию. Для экономистов, тем более, молодых специалистов, работы нет. А чтобы быть медиком в РФ, нужно очень этого хотеть, это призвание и крест на всю жизнь, и это надо понимать, а не идти потому, что родители посоветовали. Ну и биологию с химией нужно знать и понимать великолепно, чтобы там нормально учиться. Идите в айти)) айтишники сбежали из страны, вы будете нарасхват.",,Education
 Автор ," 15 марта, 21:30 ","Здравствуйте, интересуют госы в вузе ВКР как проходят. Очень переживаю, ночами спать не могу. Было бы интересно прочитать о вашем опыте. Сами понимаете, когда человек впервые сталкивается с этим у всех есть страх. Буду очень благодарна, если поделитесь со своей историей. Скажу сразу я училась до 2 курса прям плотно, 3 и 4 уже почти не ходила. Специальность у меня Юриспруденция. Особенно было бы интересно почитать про опыт ВКР юриспруденции.",,Education
 Гость ," 15 марта, 21:42 ",Что вам мешало учиться на 3-4 курсах?,,Education
 Гость ," 15 марта, 21:50 ","Все зависит не только от вуза, но даже от конкретной кафедры. У нас все было легко, а на соседней кафедре - драли. Можете найти выпускников прошлых лет и спросить у них.",,Education
 Гость ," 15 марта, 22:43 ",Ну билеты потребуйте или с прошлого года возьмите и выучите,,Education
 Гость ," 16 марта, 10:44 ","Нету у тебя никакой специальности, тупица, ты ""бакалавр"", у тебя только ""направление"". Что ты грузишься-то? В любом случае будешь на кассе стоять или полы мыть со своим дипломом.",,Education
 Гость ," 17 марта, 01:56 ",Опять эта психбольная борцун с бакалаврами проснулась,"Нету у тебя никакой специальности, тупица, ты ""бакалавр"", у тебя только ""направление"". Что ты грузишься-то? В любом случае будешь на кассе стоять или полы мыть со своим дипломом.",Education
 Ксюша ," 15 марта, 17:08 ","Не знаю как жить дальше. Я на 2 курсе медицинского. Всю жизнь мечтала быть врачом, но на 2 курсе поняла, что это не моё. В вуз я поступила на платку, платит мама 300 000 в год. За 2 года уже заплачено 600 000. У меня завтра последняя попытка по анатомии, но я уверена, что не сдам, потому что не было желания ничего учить, а это значит, что я иду на отчисление. Мне стыдно перед родителями, потому что у них ипотека и кредит. Я не знаю, что я буду делать в будущем и кем вообще быть",,Education
 Гость ," 15 марта, 17:24 ","Как тя тулаа ваще приняли, неграмотную дуру",,Education
 Гость ," 15 марта, 17:24 ","Можно с мед образованием работать в сфере красоты, массажа, спа и тд.",,Education
 Гость ," 15 марта, 17:25 ","Я тоже врачей ненавижу, но получила бы мед образования ради профессии массажиста.","Можно с мед образованием работать в сфере красоты, массажа, спа и тд.",Education
 Сэмми ," 15 марта, 17:33 ","А теперь чего плакаться? Напрямую расскажите родителям. Пойдете работать, вернете им деньги за учебу.",,Education
 Гость ," 15 марта, 17:35 ","Просить пресдачу. Зубрить. *** это же так интересно, я медик. Зубрила в 90- е, голодная в общаге холод, а мы зубрим, выдержали, а ты скулишь. - позорница",,Education
 Автор ," 15 марта, 12:59 ","На кого переучиться, что бы пусть не с первого, но со второго месяца работы зарабатывать 100000 руб? #образование",,Education
 Гость ," 15 марта, 13:08 ","Ha элитную мuнeтчuцy.И то, со прямо с второго месяца - спорно...",,Education
 Гость ," 15 марта, 13:11 ",На айти,,Education
 Гость ," 15 марта, 13:12 ",— Да я б тебе больше 100р не заплатил.— А я больше и не брала.,"Ha элитную мuнeтчuцy.И то, со прямо с второго месяца - спорно...",Education
 Гость ," 15 марта, 13:13 ",Там средняя зарплата тыщ 50. И то с несколькими годами опыта.,На айти,Education
 Гость ," 15 марта, 13:27 ","Да хватит уже. Всем давно известно, что даже в Москве с ее хорошими зарплатами стандартная зарплата джуна около 70. Только через год вырастит до 100, наверное. Плюс-минус, конечно. Но примерно так.",На айти,Education
 Гостья ," 15 марта, 09:05 ","Здравствуйте, милые девушки, подскажите, кто нибудь учился дистанционно на швею дистанционно, живу не в городе, очно учится нет возможности. Подскажите проверенные колледжи дистанционного обучения или заведения 🙏 #образование",,Education
 Гость ," 15 марта, 09:26 ",На швею дистанционно? Это как?😄Если только учиться самостоятельно по роликам на ютубе,,Education
 Василий ," 15 марта, 10:30 ","Как вы можете учиться дистанционно, если не способны найти себе курсы?",,Education
 Гость ," 15 марта, 10:40 ",Отучись задавать глупые вопросы,,Education
 alinaggg ," 15 марта, 10:59 ","Я сама научилась шить по ютубу , купила хорошую машинку и оверлок. По началу каждую операцию, как кроить, где долевая, и тд всё смотрела по видео. Сейчас сшила даже дочке купальник для гимнастики. Опыт шитья у меня всего около года, а уже и пальто и платья и даже на купальник замахнулась. Главное желание и у вас все получится!",,Education
 Автор ," 14 марта, 19:25 ","в колледже по семейному обстоятельству.Здравствуйте, люди которые брали академический отпуск. Может ли моя ситуация послужить причиной для академического отпуска по семейной обстоятельствам? Я учусь на медицинском, 2 курс, Лечебное дело. Общаюсь я только с бабушкой и дедушкой. Папа у меня умер, с мамой отношения не очень. В этом году всё стало ещё хуже. Огромные ссоры с мамой, учёба. Из-за учёбы начались стрессы, истерики. Из-за этого последние 2 недели не ходила на пары, если пойду, то боюсь, что снова будет паническая истерика. К бабушке уже давно не езжу из-за этой учёбы. Всё это давит, я морально не вывожу уже. Я просто хочу собраться с силами и отдохнуть, всё взвесить и подумать. Я думала уже отчисляться, но думаю, что лучше взять академ и просто отдохнуть, ведь столько сил было потрачено. #отпуск #образование",,Education
 Cвета ," 14 марта, 19:39 ","А на что ты жить собираешься, ели у тебя с родственниками плохие отношения?Думаю, ни мать, ни бабушка будут не в восторге кормить здоровую девицу, которая не способна к обучению даже в ссраном ПТУ.Или вы уже работу себе присмотрели?",,Education
 Анна ," 14 марта, 20:34 ","насколько помню, в заявлении можно просто указать, что прошу предоставить академический отпуск по семейным обстоятельствам. если ваши панические атаки были зафиксированы врачом, справки или выписки из больницы, то можно по медицинским основаниям попросить академ.",,Education
 Гость ," 14 марта, 20:37 ","Медицинское училище это не сраное ПТУ, там очень много надо учить. Это тебе не твоя шарага на продавщицу кассиршу, oвza тynaя","А на что ты жить собираешься, ели у тебя с родственниками плохие отношения?Думаю, ни мать, ни бабушка будут не в восторге кормить здоровую девицу, которая не способна к обучению даже в ссраном ПТУ.Или вы уже работу себе присмотрели?",Education
 Гость ," 14 марта, 22:25 ",Академический отпуск? Это как? Отпуск академика? Или отпуск в академии?,,Education
