text,quote,users,times,topic
 Такси-такси...... тем более чемоданы и все такое.....,, Инна-88, 31 авг 2016, Travel
 такси,, vdowecko, 18 сен 2017, Travel
 Есть куча приложений где можно указать маршрут и выбрать самый быстрый и короткий,, NikWeoik, 2 апр 2019, Travel
"Девочки поделитесь смешными и не очень случаями в путешествиях. Скем что-то интересное случалось ли ? Будет интересно почитать ваши истории Например, когда ездили в Болгарию там у них Да - это Нет, а Нет- это Да. Бывало шофера автобусов, когда спрашивали едут ли они туда то или сюда тоне могли ответить Да или Нет, т.к. в любом случае было бы непонятно в итоге ))). Они хотели по своему ответить, но видя что мы туристы начинали путать)))",,Гость,21 мар 2019,Travel
Куда бы Вы хотели съездить попутешествовать? экзотическое или романтичное?,,Гость,14 ноя 2018,Travel
 Я бы предпочла романтическое.,, КюшечкаН, 30 янв 2019, Travel
"Ребята, где вы предпочитаете отдыхать летом? Поделитесь информацией о поиске жилья, перевозчика и расскажите по поводу цен:)Мы с семьей частенько ездим в Кирилловку, приезжаем туда только на автобусах, Детям скидки делают, и везут с комфортом. По поводу жилья всегда все ок, в Кирилловке очень много разных баз отдыха! Развлечений тоже уйма! Нам нравится!",,Nli_Nikolev,21 ноя 2018,Travel
 люблю анапу,, ppolik, 21 янв 2019, Travel
 Кирилловка это исключительно отдых для семьи с детьми. Кроме моря там делать нечего. Я предпочла бы Испанию конечно.,, КюшечкаН, 30 янв 2019, Travel
"Кто еще тратит баснословные суммы на отдых заграницей? Раньше наша семья была именно такой. Но пять лет назад мы перестали летать в Турцию, Египет и прочие туристические зоны. Мы начали ездить отдыхать на Азовское море, в Кирилловку. Ничем не примечательный курорт еще 2 лет назад, превратился в один из самых распространенных курортов нашего времени. Мы приезжаем туда автобусами Жильё снимаем в частном секторе, по приезду. Нравится, что в Кирилловке все в шаговой доступности: аквапарк, рынок, кафе, магазины, аптеки, лунапарк и дельфинарий! Круто же!!!",,Lyudmil_Pvlov,11 дек 2018,Travel
"Хотя идея пройти по Волге на теплоходе давно поселилась в наши головы, в результате все произошло довольно спонтанно, в нашем духе – наконец-то настал долгожданный отпуск, на теплоходе оказались свободные места на довольно увлекательный маршрут, и погода обещала быть великолепной. Мы – это я и моя подруга.Хочется поделиться впечатлениями о нашем увлекательном путешествии по маршруту Казань-Ярославль-Казань.На речной вокзал г. Казани мы прибыли за два часа до отплытия. Но оказалось, что здание речного порта не работает, так что переждать время до посадки на теплоход негде. В ожидании посадки бродили в окрестностях речного порта. И не пожалели - таких удивительных закатов как на р. Волга, наверное нет нигде.Даже слов не подобрать, чтобы описать всю красоту этого зрелища. Об этом можно говорить часами, но я вам лучше покажу некоторые фото.И вот настал момент, когда наш теплоход «Капитан Пушкарев», отплыв из г. Казани в назначенное время, уверенно взял курс к первому месту стоянки, и уже утром, миновав шлюзы Чебоксарского водохранилища, мы прибыли в г. Чебоксары.  Первое, что мы увидели – Чебоксарский залив с великолепной набережной, красивое здание речного вокзала, много цветов, и конечно,монумент «Матери-покровительницы», который возвышается на холме, недалеко от Исторической набережной.На Чебоксарском заливе сосредоточено большинство достопримечательностей города, в том числе и православных церквей. Стоянка теплохода была 6 часов. Конечно, это время недостаточно для тщательного осмотра всей исторической части города, но нам удалось побывать в нескольких храмах города, познакомиться с их историей. В этом нам помогли информационные стенды, установленные возле каждого храма, мемориальные доски на территории храмов и монастыря, и простые прихожане. Вся информация по возвращении была систематизирована, исторические факты проверены. Чем хочется и поделится со всеми, кто интересуется православной темой. Первым на нашем пути был Свято-Троицкий мужской монастырь, основанный XVIII в веке по указу царяИвана Грозного. Монастырь был создан с миссионерской целью для проповеди Православия среди языческих народов. Первоначально храм был деревянным. Спустя 43 года восставшие крестьяне и волжские казаки разорили и сожгли монастырь и убили настоятеля. Но вскоре храм был восстановлен и имел уже 4 каменных храма. В 1767 г. во время своего путешествия по Волге, по дороге в Казань, монастырь посетила императрица Екатерина II и поучаствовала в торжественном молебне. Подъем духовной жизни пришелся на 192 г., тогда же при монастыре была открыта мужская церковно-приходская школа.Монастырь был закрыт в 1924 году. Имущество было конфисковано, изъяты денежные средства обители, оклады икон и другие святыни. Некоторые церковные предметы были отправлены в музей, благодаря чему они сохранились и впоследствии были возвращены монастырю. Восстановление монастыря началось в 1992г, когда ему были возвращены все сохранившиеся строения.В настоящее время Свято-Троицкий мужской монастырь возглавляет игумен Василий (Паскье), с которым нам довелось увидеться лично и получить благословение на дальнейший путь.В монастыре довелось увидеть необычный по красоте и исполнению лик святого Николы Можайского, вырезанный в дереве. Такую икону я лично вижу в первый раз. Насколько мне известно, что таких икон сохранилось очень мало, т.к. во времена Петра I был запрет на объемные иконы.Выйдя из монастыря, вновь попадаешь на набережную. Двигаемся в гору по улице Константина Иванова - классика чувашской литературы. Здесь же находится сквер его имени. Обратили внимание на информационный щит, в котором говорится, что на этом месте во время раскопок предположительно найдены останки бабушки первого русского царя Марии Шестовой. На этом месте сейчас находится земляной холм. Далее справа от нас находится художественная галерея в особняке купца Ефремова, слева - собор Михаила Архангела, на возведение которого средства собирали всем миром. Поэтому его строительство затянулось почти на 6 лет. Обряд освящения собора был совершен в 178 г. В стенах собора хранилась чудотворная икона Божией Матери Тихвинской, впоследствии утраченная. В годы гонений на церковь в храме размещалась библиотека. С 1996 г. под сводами собора возобновились богослужения. В этой церкви находится икона Божьей матери «Прибавление ума».Напротив собора Архангела Михаила находится самая старая в городе аптека, которая располагается на этом месте около 15 лет. Здесь мы пополнили запасы питьевой воды, т.к. вода на теплоходе из крана для питья не пригодна.Обойдя собор, увидели деревянный храм за забором, оказалось, что это Владимирская церковь у резиденции Митрополита Чебоксарского и Чувашского.Пора возвращаться. Спускаемся вниз.Дорога ведет прямо к входу в Чебоксарский залив. Здесь расположен храм Успения Богородицы, история которого начинается в далеком XVII столетии. Ранее на этом месте стояла маленькая деревянная церковь в честь святых князейБориса и Глеба. Когда и кто её построил – на неизвестно, так как пожары уничтожили все письменные свидетельства, да и саму церковь. В 1763 году на месте старой Борисоглебской церкви был построен большой каменный храм во имя Успения Пресвятой Богородицы.В 193-е годы, годы борьбы с религией, Храм Успения Богородицы был закрыт и понес значительные утраты. Были разрушены колокольня, часовня, ворота с ажурной решеткой и другие служебные помещения.В связи со строительством Чебоксарской ГЭС Успенская церковь попала в зону затопления. Для частичного спасения памятника архитектуры первый этаж был засыпан песком и забетонирован, и кажущийся нам первым этаж на самом деле является вторым. Богослужебную деятельность храм возобновил с 1993 года.На этом знакомство с исторической частью г. Чебоксары закончилось",,Лисичка,10 дек 2018,Travel
Девочки куда поехать на новый год недорого в жаркую страну или лучше в зиму типа Финляндии. Или горнолыжные курорты ?,,Гость,14 ноя 2018,Travel
" Масса вариантов. Чехия, Австрия, Прибалтика и тп",, Kos, 3 дек 2018, Travel
"Привет. А кто и куда любит ездить в отпуск по России, чтобы не выезжать за границу? и есть ли такие?:)))",,Svelo,8 июн 2016,Travel
 Я люблю Анапу. В этом году с друзьями туда снова едем.,, MiA, 8 июн 2016, Travel
" неее, мне бы куда нибудь в Азию. обожаю Индию, Тай, Шри-Ланку)",, Джессика, 8 июн 2016, Travel
" Мы с семьей обычно ездим в Крым. Для разнообразия меняем города, там природа везде отличная.",, Chisie, 8 июн 2016, Travel
 А вы куда в Крым собираетесь?," Мы с семьей обычно ездим в Крым. Для разнообразия меняем города, там природа везде отличная.", Svelo, 8 июн 2016, Travel
" Вот я там никогда не была, но слышала много хороших отзывов.",, Svelo, 8 июн 2016, Travel
" Если решитесь, думаю, вам понравится. Обратите внимание на гостинницу ""Атландита"", хорошее соотношение цена/качество."," Вот я там никогда не была, но слышала много хороших отзывов.", Chisie, 8 июн 2016, Travel
" Вообще не люблю отдыхать в России. Мне даже не хочется тут отдыхать, учитывая соотношение цен и сервиса. За границей можно дешевле отдохнуть и получить более приятные впечатления. Я не понимаю, почему в своей стране я должна так переплачивать??",, Мышка, 10 июн 2016, Travel
" Крым...Сочи,Анапа...куча вариантов для отдыха",, Манка, 12 июн 2016, Travel
" Любителям культурного отдыха рекомендую съездить в Питер, там есть что посмотреть. И обязательно посетите Павловск, Петергоф, Пушкино.",, ilik, 21 июн 2016, Travel
" В крыму.... ну если смотреть правде в глаза - то отдых там оставляет желать лучшего. Хотя кажждому свое, конечно. Я бы лучше за границу уехала...",, Xylivo, 7 июл 2016, Travel
" Байкал по плану сейчас. Такие дела творятся, лучше заграницу не соваться.",, Тирион, 24 авг 2016, Travel
" Недавно была в Крыму - там очень красиво, но цены дороже чем в Москве и сервис дорогущий, знакомые были в Геленджике и Туапсе в этому году сказали что там намного дешевле и народ не такой ушлый... про цены взять хотя-бы прокат водного мотоцикла, в Крыму в два-полтора раза дороже и меньше по времени.. А так помимо моря, есть куча мест, куда можно поехать..",, Ali9, 25 авг 2016, Travel
" Все черноморское побережье в вашем распоряжении. Если говорить о курортах на море. А уж живописнейших мест по России - масса. Золотое кольцо, Байкал, Урал, Алтай, не говоря уже о Дальнем Востоке.",, gogozh, 30 авг 2016, Travel
" Золотое кольцо непомерно дорогое, если путевку покупать. а вот на Байкал очень хотелось бы... Как из Москвы туда добираться и куда конкретно лучше поехать? Хотелось бы по максимуму природы захватить.",, posomy, 7 сен 2016, Travel
 любой отдых в РФ дороже и по сервису хуже турции и египта.,, Jey, 10 окт 2016, Travel
 ," Привет. А кто и куда любит ездить в отпуск по России, чтобы не выезжать за границу? и есть ли такие?:)))", Meik, 16 окт 2016, Travel
" Я очень люблю отдыхать в Карелии, езжу туда каждый год. Там свой домик на берегу озера, природа очень красивая и чистая.",, Zh, 22 окт 2016, Travel
" Мы любим с семьёй отдыхать в России. В Турции и Египте мне климат не подходит - начинаю задыхаться первые дни. Каждый год отдыхаем на Азовском море. Недалеко и отдых дешевле, чем в Крыму или заграницей. Чаще всего отдыхаем на косе Долгой (это в 4 км от Ейска). Море там намного чище, чем на побережье, дно хорошее, не илистое. Останавливаемся на базе ""Казачий берег"". Комфортная и ухоженная база с хорошим сервисом. Вкусное и разнообразное меню (шведский стол), просторные номера со всем необходимым, развитая инфраструктура (есть СПА-центр, сауна) и много развлечений для взрослых и детей - игровые площадки, водные аттракционы, бильярд, боулинг, пейнтбол, дискотека, караоке и т. д., всего не перечислишь"," Привет. А кто и куда любит ездить в отпуск по России, чтобы не выезжать за границу? и есть ли такие?:)))", Relmccoy, 23 окт 2016, Travel
" Мне в Сочах нравится: там тебе и море, и развлечения на любой вкус. парк водопадов есть, настоящая красота.",, Тараканчик, 18 дек 2016, Travel
" Мы раньше только в Россииотдыхали, а потом поняли - что все таки не о чем такой отдых - так как цены сейчас здесь не меньше чем куда то поехать!",, Джули, 19 дек 2016, Travel
" Добрый день, в принципе месть много, вот только в некоторых цены кусаются, мы с семей в этом году отдохнули в Крыму, в принципе не чем не уступает зарубежным аналогам (только мае мнение). Кстати комнату арендовали без посредников (самое главное), цени нормальные, в общем можно сказать отдых удалась, я довольна. ",, Li, 22 дек 2016, Travel
" Не так давно, все мы об этом знаем, что Крым стал Россией, так вот теперь с мужем только туда и ездим при первой возможности. ",, VsheVisochesvo, 4 янв 2017, Travel
" Нам тоже понравился частный сектор в Крыме. Квартиры приличные, комфортно вполне. К тому же можно найти комнату у моря самого, без часовых дорог до пляжа) "," Добрый день, в принципе месть много, вот только в некоторых цены кусаются, мы с семей в этом году отдохнули в Крыму, в принципе не чем не уступает зарубежным аналогам (только мае мнение). Кстати комнату арендовали без посредников (самое главное), цени нормальные, в общем можно сказать отдых удалась, я довольна. ", vdowecko, 18 янв 2017, Travel
" В России люблю Адлер, Анапу, Раз в год обязательно ездим, а когда и два получается)",, Мирная-зефирная, 23 янв 2017, Travel
" В Карелии красиво, но это для любителей ""дикого"" отдыха, на природе и с палатками, вдали от цивилизации.",, Баюнушка, 23 янв 2017, Travel
" В Карелии правда классно, несколько раз ездили на Мраморный каньон, там красиво круглый год. А летом уже по традиции ездим почти на всё лето в Сочи.",, Девчуля, 28 янв 2017, Travel
" Я тоже планирую этим летом с детьми на месяц в Сочи осесть. Девчуля, а вы там в отеле? Или квартиру арендуете? Мы хотим снять квартиру, мне кажется это дешевле.Не пойму тока как это делать",, Птенчик, 29 янв 2017, Travel
" А я была на Байкале, посчастливилось. Крым сейчас очень, я бы даже сказала в моде, очень многие едут отдыхать туду и в Сочи.",, plce, 29 янв 2017, Travel
" Из нашего Питер люблю, а зимой в Сочи на лыжах!",, Sevill, 30 янв 2017, Travel
" Краснодарский край, уже Крым в составе России. Турпутевки можно взять у компании Touips",, Гость Турист, 5 мар 2017, Travel
" В принципе можно и в России отдохнуть, но сейчас же весна, лучше на неделю слетать в Италию или во Францию. Но мы с семьей прошлой весной неплохо отдыхали в Калининграде, город отличный, воздух чистый, природа тихая и спокойная, правда чуть прохладно, но это только ночью, ну не выйдет прогуляться без теплой одежды по ночному Калининграду, хоть и в России но присутствует дух запада, европейские дизайны зданий, первым делом сходили в музей янтаря, удивило на 8 по 1 бальной шкале. В зоопарк не стали ходить, можно и у нас в Питере сходить, и самое чудесное произошло конечно же в квеструме, всё происходит как в реальности, просто дух захватывает, в Калининграде есть множество мест что стоит посетить, мы ехали через туроператора, и вернулись довольными, отдых как отдых, как будто побывали в европе, город который зовет обратно, если уж выбирать, то не раздумывая Калининград. Город на 1 из 1, и стоит попробовать местную еду, мне понравилась еда ресторана Калининград-Ташкент. Кухня просто обожраться)))",, BMDBMW, 5 мар 2017, Travel
" Я бы съездила обязательно в крым. Знакомые советуют санаторий, с учетом того что наблюдаются проблемы по гинекологии. Не вижу смысла снова отпуск потратить на какой-нибудь олл инклюзив. Еще успеется , особенно если подлечиться)))))",, m6k, 5 мар 2017, Travel
" А мы решили, что нашим детям хорошо бы родные края посмотреть, поэтому никуда не летали за границу. Зато, были в городе Мышкин Ярославской области.Думаю, что и детям и нам полезно иногда окунуться в атмосферу русского купеческого города и больше узнавать о своих корнях. А какая там красивейшая природа, просто не передать словами. В общемнам очень даже понравилось, отлично провели время, для семейного отдыха с детьмикак разто что нужно.",, FoiOll, 16 мар 2017, Travel
" Можно отдохнуть в Ейске на Азовском море. Тишина, приватность, безопасность и прекрасный вид на море из окна.",, Гость, 3 апр 2017, Travel
База отдыха Дубки предлагает прекрасный вариант отдыха в старорусских традициях,,Гость,5 апр 2017,Travel
 ," Недавно была в Крыму - там очень красиво, но цены дороже чем в Москве и сервис дорогущий, знакомые были в Геленджике и Туапсе в этому году сказали что там намного дешевле и народ не такой ушлый... про цены взять хотя-бы прокат водного мотоцикла, в Крыму в два-полтора раза дороже и меньше по времени.. А так помимо моря, есть куча мест, куда можно поехать..", djumb, 13 апр 2017, Travel
" Нам нравится отдыхать в Сочи. когда отпуск не планируется в конкретную страну, не строятся никакие планы, мы всегда знаем, что может полететь на черное море в Сочи. Вот и сейчас тут живем уже вторую неделю.",, Вероника В, 6 июл 2017, Travel
" Мы в прошлом году были в Кабардинке, нам очень понравилось, и народу гораздо меньше чем в том же Геленджике",, Twiksi, 6 июл 2017, Travel
" СПЛАВ НА ПЛОТУ - ЭТО ЛУЧШИЙ АКТИВНЫЙ ОТДЫХ НА ПРИРОДЕ НА ДОНУ,просторный плот, где есть всё самое необходимое !ОТДЫХ В ПАЛАТКЕ У КОСТРА, ЗАКАТЫ И РЫБАЛКА это не передаваемое чувство свободы !",, vipmi, 11 июл 2017, Travel
" А мы всей семьей ездим почти каждое лето в Грецию на полуостров Халкидики. Там классные пляжи, солнце, море и хорошее настроение. В России такого отдыха почти не встретишь. рекомендую всем Грецию в качестве отличного и недорого отдыха.",, ресничка, 27 июл 2017, Travel
" Мы в Береговом были в этом году, это в Крыму, там вообще отлично, людей очень мало, тихо, спокойно, плюс жилье не дорого нашли, через едим в гости бронировали за ранее. Потом даже спрашивали какие там цены, так снимать дороже выходит .",, Тараканчик, 16 авг 2017, Travel
" Согласна с plce - Байкал. Только не вздумайте купаться! Я залезла на две минуты, а отогреться не могла два часа на этой гальке!!! Вода градусов восемь, наверное! Но красота неимоверная!",, Lueks, 26 авг 2017, Travel
" Мы с семьей обычно ездим в Крым. Для разнообразия меняем города, там природа везде отличная.",, Relmccoy, 28 янв 2018, Travel
 В этом году решили устроить путешествие по городам России на машине. Первая остановка - Уфа! Решили все свои путешествия фиксировать на камеру,, Loe, 15 май 2018, Travel
" разве что в Сочи и АДлер) там хорошо, но люблю ездить в не сезон)",, Augusi, 16 май 2018, Travel
" А мы продолжаем свое путешествие по России. Сначала была Уфа, потом Набережные Челны, Казань,Чебоксары. И теперь вот Нижний Новгород! Но это еще не весь маршрут. А чтобы долго не рассказывать, просто смотрите. Каждое видео новый город!Изменено 28 май 218 пользователем Loe",, Loe, 28 май 2018ttttttt(изменено)ttttttttttt, Travel
" Лето лучше проводить на море и пляже. Я бы порекомендовала поехать в Крым. Мы с мужем и дочкой отдыхали в Алуште и остались очень довольными. Это вообще небольшойгород-курорт на Южном берегу. Но его главным преимуществом является просторный городской пляж. Кстати, большую часть его площади занимает песок, хотя, у самого берега он сменяется такой мелкой галькой. И остальные пляжи города – галечные и довольно маленькие по площади.Так вот еще рядом с Алуштой есть курортный поселок ""Профессорский уголок"", и там есть неплохиепесчаныепляжи, которые принадлежат санаториям, но любой желающий может посетить их абсолютно бесплатно.",, melik93, 11 июн 2018, Travel
" Рекомендую Абхазию, климат чудесный, воздух горный, кухня отличная. Недорого, можно дикарями, как мы.",, Ольга 77, 17 июн 2018, Travel
Вопрос в темеИзменено 5 мар 218 пользователем Алена Миронова,,Алена Миронова,5 мар 2018ttttttt(изменено)ttttttttttt,Travel
" Больше, чем у нас.",, Вермоер, 6 мар 2018, Travel
 $2 725 в Среднем. Википедия в помошь.,, Sbi1, 6 мар 2018, Travel
" Ну что вы хотите, вообще тоНидерланды на 9 месте по уровню счастья среди населения.Вот вся десятка:hps://wyempie.com/fcs/smyie-schslivyie-syi",, womlks.u, 9 апр 2018, Travel
"Конец марта 218Бали и острова. Посещение всего самого интересного, малоизвестные тропы, атмосферные отели и невероятные эмоцииПутешествую по Бали и островам с 12 по 27 марта.Буду рада найти веселую компанию на всё время путешествия или часть его.Мой маршрут:Убуд - с 12 по 16 марта.Гили Эйр - 16 по 19 марта.Улувату - с 19 по 21 марта.Нуса-Пенида - с 21 по 23 марта.Бадунг - с 23 по 26 марта.Мой маршрут включает в себя проживание в самых необычных и интересных местах, самые необыкновенные и красивые места и пляжи, необычные храмы, интересные и вкусные рестораны, захватывающие дух виды, плавание с мантами, острова, баллийский массаж, рассветы, закаты и многое многое другое...Я очень активный человек и ищу себе компанию, готовую к приключениям и незабываемым эмоциям... Но при всём этом, будет время и для лени и потрясающих фотографий)))Приблизительный бюджет с перелетом, проживанием в тех же отелях, что и я + со всеми переездами и экскурсиями, едой и прочим - 15 Если моё предложение будет интересно, буду рада обсудить все детали.",,Tem2Tvel,22 янв 2018,Travel
"Кто отдыхал? Какие можете оставить отзывы об отдыхе истоит ли туда вообще лететь? Предлагают выгодный вариант поездки, но ничего не знаю про этот остров, сама никогда не была в Таиланде. Вся в раздумьях.",,Гость Анютка,23 ноя 2017,Travel
" Я отдыхала! Самуи довольно экзотичный остров, очень красивый! Рекомендую к посещению, кстати намного интереснее Пхукета или Паттаи. Много красивых пляжей, а закат там просто сказка! ))Посмотрите не большое видео про 2 фактов об острове Самуи:",, Интересная, 23 ноя 2017, Travel
"Недавно совсем случайно попала в поход с настоящими туристами. Они постоянно покоряют разные места, иногда могут идти несколько дней подряд с рюкзаками и останавливаться по дороге на ночлег. Мы прошли 36 км до водопадов. Было тяжело, но очень красиво, и это того стоило. А как вы относитесь к подобным путешествиям?",,Грета,13 июн 2016,Travel
" Отношусь к таким путешествиям положительно. Но такой отдых не для меня. Больше люблю песок, море, пляж.",, Tli, 21 июн 2016, Travel
 фу как банально. А вот по неизведанным местам с палатками походить - это реально круто.,, Bizz, 26 июн 2016, Travel
" я даже не знаю - ити целый день... особенно если жара на улице под 3..Сомневаюсь, что мне это понравилось бы.",, Xuos, 5 июл 2016, Travel
" я за целый день, столько намотаю км, что по горам пешком лазить - нет желания. у каждого свои заморочки в голове..))",, Xyhuvupu, 12 июл 2016, Travel
" туризм это всегда хорошо, а если еще за границу, так вообще.. когда знаешь английский язык в любом случае, легче путешествовать и т.д.",, VioleY, 4 авг 2016, Travel
 Каждому свое. Каждый человек индивидуален. Путешествовать по другим странам - это кайф. Можно узнать много нового. А с палатками мне не очень нравится.,, Tli, 4 авг 2016, Travel
" Были в Корелии этой зимой. Ходили от ""отдых+спорт"" - есть такая группа в вк.",, ovesky.olek, 4 апр 2017, Travel
" люблю пешие прогулки, но не в жару. пожалуй, весной попробую что-то такое с компанией)",, Mdik, 15 июл 2017, Travel
" С рюкзаком не пойду, а пройти 5-1 км по долинам и горам очень люблю.",, Dollypups, 9 сен 2017, Travel
 Больше нравятся велопрогулки,, oly, 12 окт 2017, Travel
 костер палатка....клас,, ppolik, 21 янв 2019, Travel
" На любителя. Обычно наслаждаться начинаешь всем вокруг, когда находишься в комфорте. Но даже если вам нравится побродить с рюкзаком по местам не очень населенным, лучше это делать в составе организованной группы.Сейчас есть сервисы, где можно быстровыбрать желаемые туры, походы на любой кошелек.",, EkeiN, 18 апр 2019, Travel
"В студенческие времена я очень любила ездить с друзьями по области на велосипедах. Смотрели разные достопримечательности, природные красоты нашего края. Думаем возобновить такие поездки и может быть расширить географию, устроить путешествие в другие города. Может у Вас уже есть такой опыт или тоже хотите так сделать?",,Di,24 июл 2015,Travel
" Я сейчас теплыми вечерами стараюсь каждый день кататься в парке, в лесополосе, по улицам города где есть такая возможность. За зиму немного поправилась, вот теперь совмещаю приятное с полезным А вот на дальние расстояния ездить опасаюсь, не безопасно.Информация, которая пригодитсяВ Москве самый большой выбор велосипедов у метро «Сокольники», десятки магазинов расположены в непосредственной близости от входа в подземку. Здесь же можно найти нужные аксессуары и даже веломастера. Следуя пословице про покупку саней летом, можно заметно сэкономить и на приобретении велосипеда, если отправиться за ним в магазин зимой.Подержанные велосипеды владельцы также продают с большой скидкой, если нет возможности сильно тратиться, можно выбрать и такой путь, просмотрев объявления на соответствующих сайтах. Отправляясь в магазин велосипедов, стоит помнить о том, что большое количество моделей в наше время продается без крыльев. На ход велосипеда их отсутствие влиять не будет, а вот во время поездок после дождя они очень пригодятся.Можно выбирать из двух вариантов крыльев: съемного и несъемного. Съемные больше подойдут тем, кто возит байк в салоне автомобиля. Если же велосипед не планируется перевозить другими видами транспорта, то можно купить к нему несъемные крылья. Знатоки советуют выбирать в магазине велосипедов более широкие крылья, которые смогут обеспечить более надежную защиту от грязи из-под колес.Дополнительные штуки, которые не помешаютЕще одни насущный вопрос — подкачка колес. Заводы дают тридцатидневную гарантию удержания давления, потом колеса нужно будет периодически подкачивать. Обычно в магазинах велосипедов можно найти модели с шинами, давление которых находится в рамках 2,5 — 4,5 атмосферы. Подкачку можно делать и ручным насосом, но лучше все-таки не тратить силы и использовать ножной автомобильный.",, Glo4k, 25 июл 2015, Travel
" Я сейчас по новой осваиваю велодосуг. На далёкие поездки ещё долго не решусь. А вот на велосипед на фото выше уже засматриваюсь давно, это Электра? Ваш? Как отзывы?",, T, 9 сен 2015, Travel
 Да такие велосипеды и у нас по городу часто катаются...,, Снежинка, 9 сен 2015, Travel
" я тоже обожаю ездит не велосипеде,часто в магазин езжу за покупками)",, Зиноида, 21 окт 2015, Travel
" Эх, я бы тоже с радостью, но не умею ездить на велосипеде ",, lucky.ssky, 29 окт 2015, Travel
" Опыт есть и немалый. Ежегодно катаюсь летом по долгу и с удовольствием. Вот только к очередному сезону вел нужно будет подготовить, ТО ему сделать)", Может у Вас уже есть такой опыт или тоже хотите так сделать?, Deeb, 27 фев 2016, Travel
 я не очень люблю на велике ездить. На машине - это из разряда хобби. А вот крутить педали в жару или ветер...неа..,, Xyhuvupu, 12 июл 2016, Travel
" Смотря куда и когда ездить. Вот как вело-туризм, то нет. Не могу... Мне не нравится такое.",, Zidogj, 12 июл 2016, Travel
" Я в детстве очень любила велосипед, мы обычно в деревне катались на великах целый день, ездили на ручку и озера. И сейчас когда я приезжаю на дачу, мы иногда собираемся с подружками и едем кататься по местности, очень классно. Муж тоже у меня, вместе со мной катается. Очень полезная вещь - велосипед)",, Ali9, 4 авг 2016, Travel
" велик это так классно! размяться, прокатиться вечерком... ощущения от велика перебил у меня только мотоцикл, недавно попробовала. правда все время ездить не стала бы, страшно, а вот так в качестве отдыха прокатиться-самое то!",, posomy, 15 авг 2016, Travel
 Я тоже не умею.," Эх, я бы тоже с радостью, но не умею ездить на велосипеде ", Tli, 16 авг 2016, Travel
" я в детстве умела, но сейчас уже очень давно не каталась и тоже забыла, как это)",, VioleY, 16 авг 2016, Travel
" Да, но и удовольствие не из дешевых) Нормальный мот сами знаете, сколько стоит) А велик - отличная альтернатива))"," велик это так классно! размяться, прокатиться вечерком... ощущения от велика перебил у меня только мотоцикл, недавно попробовала. правда все время ездить не стала бы, страшно, а вот так в качестве отдыха прокатиться-самое то!", gfoi, 17 авг 2016, Travel
" ну покупать-то необязательно.. вот например сертификат есть на урок вожденияhps://www.peses.u/clog/gifs/uok-ezdy--moosikle/, стоит не так уж дорого."," Да, но и удовольствие не из дешевых) Нормальный мот сами знаете, сколько стоит) А велик - отличная альтернатива))", posomy, 20 авг 2016, Travel
" Очень люблю, но мужа не затащить.",, Сапфировая, 22 авг 2016, Travel
 Я и сейчас с мужем катаюсь по городу. Если конечно погода позволяет.,, Mik_y, 22 сен 2016, Travel
" Я на работу езжу, есть душь, сменные вещи, не могу уже дождаться начала сезона",, Alek, 27 янв 2017, Travel
 я больше ролики обожаю) но и велики напрокат брали летом-весной) всей семьей катались),, Augusi, 27 янв 2017, Travel
 я все прнимаю - о здоровье и все такое. Но мне проще поехать с палаткой на машине..)),, Xuos, 27 янв 2017, Travel
" хорошо вам - спортивным. а я к великам никогда чувств не испытывала. на 9 лет первый подарили, 2 метров прокатилась и стоит до сих пор, пылится в гараже)",, Mdik, 15 июл 2017, Travel
Расскажите свое понимание этого слова?,,Ольга1329,26 апр 2017, Travel
" для меня это расширение кругозора, незабываемые эмоции, практики в общении и в языках)",, Augusi, 27 апр 2017,Travel
" О да,в первую очередь новые эмоции! Мы так хотим поехать в Тай, когда смотрю фотографии, просто хочется туда телепортироваться) Кто-то ездил туда с ребенком, мне как-то страшновато(",, Вероника В, 27 май 2017, Travel
" Для меня это смена остановки и конечно же отдых от суеты и работы) Ну и конечно возможность наполниться силами на следующий период до отпуска) а с ребенком в тай конечно можно ехать, там хорошо, фрукты, природа) только вот подстрахуйтесь, то медицина у них там дорогая",, Леночек, 30 май 2017, Travel
 Для меня путешествия это незабываемые эмоции и смысл жизни.,, Kiochk, 10 июл 2017, Travel
 Я недавно таки посетила Англию! Незабываемые впечатленияодин достопримечательности чего стоят там),, Augusi, 16 окт 2017, Travel
" Познавать другие культуры, обычаи. Обожаю во время путешествий пробовать местную кухню, обычно даже прошу рецепты и записываю их в свой блокнот :3",, LizCue, 16 окт 2017, Travel
"Я много раз была в Нью Йорке и с каждым разом все сильнее поражалась тому, как много можно найти там интересного и превосходного. В театрах и концертных залах - лучшие мировые исполнители, музыканты и певцы, умопомрачительные коллекции минералов - на 5й авеню, в музеях Гуггенхайма и Метрополитен - потрясающие экспозиции. Центральный парк в октябре будет великолепен. Шопоголиков ждут магазины размером в целый квартал. Проживание можно устроить от 14 долларов/чел. в ночь в общежитиях до 5-8$ за ночь в роскошных отелях при условии, что заселимся компанией в 4 человека. При желании можно расширить географию. Майами туда-обратно - чуть больше 2$. Ваш возраст и пол не имеет значения. Главное - чтобы люди были хорошие.",,Tem2Tvel,29 сен 2017, Travel
