text,users,times,topic,quote
"Депрессия...Перед вами бетонная стена, через которую очень нужно пройти, а из инструментов с собой лишь ваши собственные руки/ноги. Бьётесь пытаетесь перепрыгнуть - не получается. Возникает злость что не поддается, обида что кто-то же ее возвел, вина за то что забыли захватить нужные инструменты, страх что не справитесь и т.п. Это дискомфортные чувства.Но пройти всё равно нужно. Бьётесь головой о стену дальше - также безрезультатно. Наступает момент, когда перестаете верить в свои силы, в себя, из-за неспособности преодолеть препятствие за счет своих рук/ног. Это разочарование - в себе, в людях, в этом мире.Пройти-то все равно очень нужно. Предпринимаете последние попытки, хотя уже знаете, что не способны. В конце концов, перестаете как либо пытаться преодолеть стену и к вам приходит переосмысление, что всё о чем вы мечтали сделать или получить там за стеной, вы в этой жизни уже не сделаете и не получите. Это депрессия.Отсюда вопрос: исправление ошибки на каком этапе может излечить депрессию? Антидепрессанты не исправят ваши ошибки, не сделают за вас новые выводы, не возьмут на себя ответственность за качество вашей жизни. Но станет полегче...", artem.xladnov ," 27 апреля 2016, 15:09 ",Depression,
"Применял афобазол, после курса транквилизаторов (диазепам), очень не явный эффект. Вначале вообще ничего не чувствуешь, успокоения нет. Могу сказать, что у меня в целом тревожный склад личности. Транквилизаторы делают своё дело, но при этом вызывают опасные побочные эффекты. Постепенно с курсом афабазола, есть некий эффект, очень тонкий по сравнению с рецептурными успокоительными. Ценовая политика - курс выходит довольно дорогим, поэтому люди с реальной тревогой могут попасть на деньги, не получив эффекта.Всё таки признаю очень легкий успокоительный эффект есть, без каких либо побочных эффектов, чувствуешь себя чуть более ближе к хорошему состоянию, и наверное афобазол ближе всего к естественному натуральному состоянию нервов.Были бы деньги, я бы пил в высоких дозах курсом по 60 мг (6 таблеток) и выше.", Василька ," 28 апреля 2016, 19:37 ",Depression,
"Хочу спросить тех, кто принимал/принимает антидепрессанты! Какими курсами их обычно принимают (т.*****. интересует длительность курса)? После их отмены как Вы себя ощущали/ощущаете? Пришли в норму или они не оказали должного действия на длительный период?", Соня ," 10 мая 2016, 20:51 ",Depression,
, maria ," 04 июня 2016, 14:55 ",Depression,"Марго, Добрый день, Вам! Была в похожей ситуации. Могу поделиться личным опытом, если хотите marisha.molchan@mail.ru"
"Всех приветствую!Хочу поделиться ссылкой на уникальную группу ВК, по моему аналогов нет, зайдите, почитайте комментарии - может пригодится. Только Самара.", osipova_aleksaandra ," 11 июня 2016, 16:05 ",Depression,
"Всех приветствую!Хочу поделиться ссылкой на уникальную группу ВК, по моему аналогов нет, зайдите, почитайте комментарии - может пригодится. Только Самара.https://vk.com/club122477425", osipova_aleksaandra ," 11 июня 2016, 16:06 ",Depression,
"Очень рекомендую энерготерапевта, который буквально в течение двух недель убирает депрессию и бессонницу. Он лечит гипофиз, который является первопричиной всего этого. Его телефон 89684031759. Плюс ещё, что лечение недорого и без лекарств.", Александр ," 09 июля 2016, 14:08 ",Depression,
"У меня была жуткая депрессия в сентябре.. Спасалась от неё в спортивном санатории Дурмитор в Черногории, сначала не верила в эффективность подобных санаторием, но делать было нечего психолог не помогал, поэтому решила попробовать, как говорится чем чёрт не шутит.. Поехала на 28 дней, результатом осталась довольна на все 100%, первую неделю пришлось конечно адаптироваться под расписания санатория особенно мне очень тяжело давались ранние подъемы..Время в Дурмиторе прошло быстро, только первая неделя тянулась..Тренера конечно жесткие, но благодаря им я не расклеилась, а наоборот поверила в себя.", Зубарева Елизавета ," 30 октября 2016, 16:18 ",Depression,
, Larisa ," 07 ноября 2016, 18:36 ",Depression,"DinaВ Израиле депрессию очень быстро излечивают-ученые разработали -специальные шумы на дисках , которые повышают бетта волныИ страхи так лечат и другие невралогические проблемы.я хочуУ кого есть возможность приезжайте!!!"
Добрый день! Хочу спросить где в Израиле лечат депрессию шумами и не надо принимать антидепрессанты.Страдаю депрессией почти 2 года. Спасибо за ответ., Лариса ," 07 ноября 2016, 18:42 ",Depression,
"[quote=""Марго""] Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, уволилась. Накупила витаминов, стала чем-то себя занимать и поняла,что стало ещё хуже. Апатия и нервозность одновременно, не понимание того,как люди радуются по мелочам. Мне интресно, кто лечился у психиатра? Когда мне терапевт посоветовала найти ""хорошего врача"" я немного смутилась и стала говорить:""Я не псих!"". Но понимаю,что так жить нельзя. Как вы нашли врача? по месту жительства или в клиники", Анна ," 09 ноября 2016, 15:56 ",Depression,
Пишу что мне помогает.Первое- медитации Олега Руснака.Второе-музыка расслабляющая в наушниках..Третье -куркумин всм 95.действует как антидепрессант повышает настроение и плюс нормализует вашу голову, Анна ," 09 ноября 2016, 16:02 ",Depression,"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, уволилась. Накупила витаминов, стала чем-то себя занимать и поняла,что стало ещё хуже. Апатия и нервозность одновременно, не понимание того,как люди радуются по мелочам. Мне интресно, кто лечился у психиатра? Когда мне терапевт посоветовала найти ""хорошего врача"" я немного смутилась и стала говорить:""Я не псих!"". Но понимаю,что так жить нельзя. Как вы нашли врача? по месту жительства или в клиниках? И каковы успехи?"
пишу что поможет.Первое -медитации и расслаблющая музыка постоянно.Второе куркумин всм 95 действует как антидепрессант посмотрите в Гёте быстрый результат и очень полезно, Анна ," 09 ноября 2016, 16:04 ",Depression,"Всем привет! Я хочу попросить у вас помощи, так как не знаю что мне делать и к кому обратиться. Я познакомилась с молодым человеком в декабре. Он стал ухаживать за мной, мне он нравился и я ему тоже. Мы ходили в кино, целовались, обнимались, долгие разговоры по телефону и переписки все было как в сказке. Спустя некоторое время у него умерла кошка которая прожила с ним 19 лет. И в этот день он предложил переночевать у него. Я естественно согласилась, хотела его поддержать как могла. И после этого мы уже не расставались, я переехала к нему жить. Он рассказал мне все и про первую любовь и про проблемы его мамы. Я всеми силами пыталась его поддержать, и быть всегда рядом. Прошло еще некоторое время и он приболел мы естественно лечились и пили таблетки. Потом его отправили к неврологу и психотерапевту. Как оказалась у него затяжная депрессия уже 3-5 лет. Ему назначили пить таблетки Паксил. сначала по половинке потом по целой. Последние 2 ночи его мучают кошмары и он не может спать. Я за него очень переживаю, но он не верит мне и ему кажется что мне нравиться его друг ( он бабник ) и стал говорить всякие гадости и мерзости. От которых мне обидно, до боли. Я хочу очень ему помочь, так как я полюбила его. И готова на все, только что бы он поправился. Я читала кучу статей, о депрессий. Но он меня не подпускает, и начал меня отталкивать от себя и говорить что без меня все было хорошо. Что мне делать, я не понимаю!!!! Как мне помочь ему выити из этого состояния?"
"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, …", Марго ," 17 сентября 2012, 10:47 ",Depression,
Соня не начинайте пробуйте куркумин всм 95 оч сильный быстрый эффект пишите мне отвечу подробно, Анна ," 09 ноября 2016, 16:08 ",Depression,"Хочу спросить тех, кто принимал/принимает антидепрессанты! Какими курсами их обычно принимают (т.*****. интересует длительность курса)? После их отмены как Вы себя ощущали/ощущаете? Пришли в норму или они не оказали должного действия на длительный период?"
, Анна ," 09 ноября 2016, 16:10 ",Depression,"Спасибо,что серьёзно отнеслись. Серотонин сдам обязательно! Остальные гормоны сдавала-всё в норме"
Марго.Первое-медитации и спокойная музыка постоянно.У вас должен идти позитив через уши.Второе через глаза идёт тоже просмотр только позитивно развивающих программ.Третье _куркумин тумерик 95 как антидепрессант но только натурально и супер быстрый эффект нормализации работы ваших нейромедиаторов то бишь гормонов.яПишите. спрашивайтее, Анна ," 09 ноября 2016, 16:15 ",Depression,"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, уволилась. Накупила витаминов, стала чем-то себя занимать и поняла,что стало ещё хуже. Апатия и нервозность одновременно, не понимание того,как люди радуются по мелочам. Мне интресно, кто лечился у психиатра? Когда мне терапевт посоветовала найти ""хорошего врача"" я немного смутилась и стала говорить:""Я не псих!"". Но понимаю,что так жить нельзя. Как вы нашли врача? по месту жительства или в клиниках? И каковы успехи?"
"Всем кого мучают депрессивные ростройства:готовитесь к исповеди и причастия,делайте это хотябы 2 раза в год,больше читайте религиозной литературы и не будет у вас никаких депресией!!!!", Ирина ," 07 декабря 2016, 11:02 ",Depression,
, Полина ," 14 декабря 2016, 18:05 ",Depression,"господи, милая, какой психиатр?? вы о чем???и депрессии у вас нет.. ВЫ САМИ СЕБЕ ВНУШИЛИ..с ума не схоидте.. все нормально..не пей вы всякие успокоительные и прочее..взяли моду в депрессии впадать..."
Врачом поделитесь?!)), Татьяна ," 09 января 2017, 11:30 ",Depression,
"Помните магний В6 антистресс.абсолютно меняет состояние не только тела,но и души", Елена ," 16 января 2017, 11:22 ",Depression,
Попейте, Елена ," 16 января 2017, 11:24 ",Depression,
кто вышла из депресии поделитесь, гуля ," 17 января 2017, 19:00 ",Depression,
"Депрессия-сложное и тяжелое состояние организма и просто таблетками от нее не избавится.Советую обратиться к специалисту врачу космо-био-энерго терапевту,этот врач полностью избавит вас от тяжкого недуга,тел. в Москве 89672986414,звоните.", Надежда ," 27 января 2017, 16:05 ",Depression,
"У меня был очень трудный жизненный период. Были серьезные неприятности на работе, очень сильно меня подставили. В итоге лишился работы и попал на большие деньги. Ну ситуация для наших дней обычная, долги по кредитам, коллекторы, суды. Если честно, очень нехорошие мысли лезли в голову, выхода вообще не находил, кроме, сами понимаете какого. Спасла поддержка родных, отвели меня к психологу, потом группа поддержки. Собирались люди с похожими историями, делились своими историями. Я сам сначала в это не верил, но на самом деле очень помогает. Действительно рекомендую. Естественно не обошлось без антидепрессантов. Курс амитриптилина, потом феварин, на последних этапах нейрофулол. В общем из жизненного пике выходил около года. Но всё в итоге наладилось за что врачам очень благодарен. Сейчас радуюсь жизни чего и вам желаю. Да, и не забываете - любая проблема решаема.", Александр ," 09 марта 2017, 07:15 ",Depression,
"Спасибо, за информацию.Принимаю пока первую неделю по 0,6 г два раза в день. Из эффектов - подвижность прибавилась, как то спокойнее на душе стало. Короче хорошие подвижки есть, что очень радует. К концу месяца добью упаковку, дальше по ситуации, но очень надеюсь, что еще покупать не придется", Анна ," 10 марта 2017, 07:46 ",Depression,"У меня был очень трудный жизненный период. Были серьезные неприятности на работе, очень сильно меня подставили. В итоге лишился работы и попал на большие деньги. Ну ситуация для наших дней обычная, долги по кредитам, коллекторы, суды. Если честно, очень нехорошие мысли лезли в голову, выхода вообще не находил, кроме, сами понимаете какого. Спасла поддержка родных, отвели меня к психологу, потом группа поддержки. Собирались люди с похожими историями, делились своими историями. Я сам сначала в это не верил, но на самом деле очень помогает. Действительно рекомендую. Естественно не обошлось без антидепрессантов. Курс амитриптилина, потом феварин, на последних этапах нейрофулол. В общем из жизненного пике выходил около года. Но всё в итоге наладилось за что врачам очень благодарен. Сейчас радуюсь жизни чего и вам желаю. Да, и не забываете - любая проблема решаема."
б, Ника ," 11 марта 2017, 18:54 ",Depression,"Сделайте исследования всех гормонов, в том числе серотонина - гормона счастья.Эндокринолог как раз посмотрит как у Вас с йодом, велоятон не хватает, так как нервная и уставшая. Вы пишет таблетки и все нормализуется.Обязательно начните ложиться спать в 22.00 и вставать в 6-7 утра. Те, кто подно ложится, не спит достаточно, сидит в интернете как чумовой, часто жалуются на такое состояние как Ваше.Не спешите антидепресанты пить - они влияют на печень сильно. Постарайтесь в первую очередь наладить режим - вовремя ложиться, вовремя вставать, завтракать, обедать, ужинать не позже 7 вечера, гулять не меньше часа. Займитесь спортом, движение дает больше кислорода органам и тканям, благодаря более веселому вращению крови в организме.Вы чистите всю квартиру, пропотейте хорошо, депрессия обычно выходит с потом человека - тайнцуйте, лучше латино-американские танцы, очень помогает."
"Добрый вечер.Я сама не знаю что со мной происходит,Все началось внезапно,сердце сильно билось и страх был.обратилась к невропатологу,выписал таблетки на 10 дней,принимаю,Ну все же сама себя не узнаю...с мужем ругаюсь,Все нервирует...и настроения то хорошие то плохое.кто знает что это.депрессия", Ника ," 11 марта 2017, 19:06 ",Depression,
, Хеджер Лирова ," 25 марта 2017, 11:45 ",Depression,"Хочу поделиться и спросить совет. Зимой 2013 года начало сильно тошнить, попала в гастро отделение и при этом я была полностью здорова, никто не мог ничего понять, меня тошнило и не могла есть 2 месяца а потом началась бессонница. Потом обратилась к психиатрам, одни говорили, что неврастения, другие, что - это депрессия.... Мне не лучше уже пол года. Везде говорят, что неврозы хорошо лечатся. Лежала в санаторном отделении, никто и ничто мне так не помогло. я ещё не старая и хочу снова почувствовать вкус к жизни. У меня полная апатия и нет никаких эмоций. Отзовитесь тот у кого такое было, скажите что со мной?"
"нехорошо издеваться над больными людьми.Это жестоко. Людям плохо, а вы со своей рекламой. Совесть бы имели.", Ванда ," 25 марта 2017, 14:57 ",Depression,"Всем известно, что у заболевания не всегда есть причины для возбудителей, иногда болезнь приходит неожиданно сама, просто так...Так вот, если вы обнаружили у себя симптомы депрессии, а именно:- тоскливое настроение;- утратили удовольствия от выходных дней и мир,жвачка, дружба Вас уже не радуют;- верите, что конец Света еще впереди и ученые просто ошиблись с датой;- подсели на мармеладки и шоколад.НЕ отчаивайтесь!Подробнее здесь =>http://vk.com/club21983471?w=wall-21983471_64%2Fall"
"подростковая депрессия может стать серьезной проблемой в дальнейшем развитии ребенка: http://hippocrat.net/podrostkovaya-depressiya/. Именно поэтому необходимо вовремя обратиться к специалистам, н-клад, биоэнергетиков, которые бы помогли. Хорошо ли это?", alina ," 27 апреля 2017, 00:18 ",Depression,
, Гостьаня ," 15 мая 2017, 20:23 ",Depression,"Вам нужен не психиатр, а психотерапевт, звучит лучше, не правда ли?)"
"Судя по своему опыту, хочу сказать, что сколько вы не пытались самостоятельно это сделать, вы получите только временный результат. Я сама в подобном положении пыталась выбраться из этого. Читала разные статьи https://psyconsult24.ru/sovety-psixologa/kak-vyjti-iz-depressii/Потом решила обратиться к специалисту. Думаю, что это наилучший способ решения этой проблемы (да и вообще всех проблем:))", Ира ," 01 июня 2017, 10:37 ",Depression,
"Конечно, депрессия - это заболевание, которое надо лечить. Доктор медицинских наук В.Л.Минутко болезнями психического спектра занимается около сорока лет. Он автор книг (в том числе и ""Депрессия), публикаций, ведет свой блог. При клинике есть стационар, где больные могут находиться со своими родственниками.", Галина ," 19 июня 2017, 23:25 ",Depression,"Психиатром тут не пахнет. Ваш терапевт - дура(к), раз посоветовал(а) психиатра. Вообще депрессию надо лечить! Затяжная депрессия приводит к ее хроническому течению и лечить ее становится сложнее. Поэтому вам нужно идти психотерапевту. Это не психиатр, это врач..который вам объяснит, что с вами происходит и выпишет препараты для лечения депрессии."
Здесь о том как по-настоящему быть счастливой https://youtu.be/1YREGPTOQsg, Диана ," 28 июля 2017, 00:17 ",Depression,
"Всем, кто страдает депрессией без болевого синдрома, советую перед тем, как сесть на антидепрессанты, попробуйте попить витамин Д в больших дозах (5000МЕ) , испытала на себе, сначала пила ципрамил год, набрала лишний вес, бросила, депрессия одолевала не знала что делать, ципрамил, конечно помогал, но 13 кг меня останавили, жирной быть не хочу, и тут эндокринолог мне назначила витамин д, он реально повышает серотонин, недели через две почувствовала то же, что и на АД, прекрасное настроение, прилив сил, жизнь снова заиграла яркими красками, появилась мотивация, и я счастлива. Так. что попробуйте, на АД всегда сесть успеете.", Ольга ," 22 августа 2017, 14:13 ",Depression,
"Я вылечила себя без врачей и таблеток. Если вам интересно, пишите irishkaway1984@mail.ru", Гость ," 26 августа 2017, 18:14 ",Depression,
"Я сама несколько месяцев находилась в глубокой депрессии. Когда поняла, что нужно что-то делать искала с чего же начать и отличным первым шагом стала вот эта отличная статья https://psyconsult24.ru/sovety-psixologa/kak-vyjti-iz-depressii/Уверенна, что и у вас все получится. Важно сделать первый шаг, а потом поймете, что нужно делать :)", Гость ," 05 сентября 2017, 21:45 ",Depression,"Я знаю,что таких тем много. И каковы успехи?"
Недавно пережил очередной острый приступ. Почитать о полученном опыте можно тут - https://ruspsycho.blogspot.ru/2017/09/blog-post.html, Вова ," 29 сентября 2017, 19:09 ",Depression,
"Вы видимо совсем не знаете что это за болезнь...Вам повезло.Это не мода а тяжелое заболевание,еще и советы даете ...", Таня ," 13 октября 2017, 20:44 ",Depression,"господи, милая, какой психиатр?? вы о чем???и депрессии у вас нет.. ВЫ САМИ СЕБЕ ВНУШИЛИ..с ума не схоидте.. все нормально..не пей вы всякие успокоительные и прочее..взяли моду в депрессии впадать..."
"Старалась не замечать отвлекающих факторов на работе, но стоило кому-то ко мне обратиться, я срывалась. А ведь нельзя, должность приличная. Поэтому стала лечить свое состояние, восстанавливать нервишки. Мне помогли таблетки Мильгаммы композитум. Через месяц приема, почувствовала себя человеком, стала более уравновешенной, не так остро реагирую на проблемы, а теперь просто их решаю.", Дашкова ," 28 октября 2017, 17:35 ",Depression,
"Меня тоже кормили советами типа «найди себе хобби». Это не помогало. Обратилась к психологу, и через месяц, спустя 6 консультации, депрессия прошла. Может, и другим поможет способ psyconsult24.ru/konsultatsiya-psihologa-online-depressiya-odinochestvo/", Диана ," 06 ноября 2017, 06:39 ",Depression,
"Магнерот отличные таблетки, я с ними вышла из такой глубокой депрессии по поводу увольнения, что нашла силы найти работу своей мечты! Принимала препарат целый месяц, но он меня, можно сказать, спас. Благодарю производителей и желаю им добра!", Нежинка ," 12 декабря 2017, 19:23 ",Depression,
, Наталт ," 15 декабря 2017, 23:02 ",Depression,"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, уволилась. Накупила витаминов, стала чем-то себя занимать и поняла,что стало ещё хуже. Апатия и нервозность одновременно, не понимание того,как люди радуются по мелочам. Мне интресно, кто лечился у психиатра? Когда мне терапевт посоветовала найти ""хорошего врача"" я немного смутилась и стала говорить:""Я не псих!"". Но понимаю,что так жить нельзя. Как вы нашли врача? по месту жительства или в клиниках? И каковы успехи?"
"*** со своим нейрофулолом,не существует такого лекарства", Гость ," 16 декабря 2017, 21:43 ",Depression,"Всем привет, раньше была беда, сутками ревела, ужасная бессоница , волнение и паника, в ночь иногда налаживалось (непонятно правда почему) а потом все снова начаналось . Пью 2 недели Нейрофулол , вроде лучше, перестала реветь хотябы и начала спать , но надо верить в хорошее и это точно произойдет)))))). Иногда правда посещют мысли вдруг и это не поможет ( перепробовала почти все велаксин по 150 + СИОЗС, эглонил и т.д ) Так что надеюсь на лучшее"
"Всем привет. 2 года назад я мучалась депрессией. Пала антидипрессанты, нейролептики. 2 раза лежала в псиневрологическом диспансере. Симптомы были, сильная тревога, страхи, апатия, не могла общаться с людьми. Ненавидела себя и свою жизнь. Таблетки помогали только на время, через какое-то время у меня случались откаты и все по новой, только еще сильнее. 3 года я так мучалась, пока не встретила человека, которая прожила свою дипрессию без таблеток и чувствует себя прекрасно. Она порекомендовала мне принимать свою состояние и проживать его. Не бороться с ним, а наоборот погружаться в свои чувства, усиливать их и проживать. После этого они сами пройдут. Так и получилось, я завела дневник, куда писала все что я чувствую и проживала свои чувства. Плакала, кричала, регалась, боялась..много что из меня вышло. И теперь я счастлива и забыла, что такое дипрессия!!!))) таблетки блокируют наши чувства, которые хотят выйти на ружу, а мы боимся их проживать, так как они не приятные и болезнеенные. Но это надо сделать, они долгое время сидят у нас в теле и не могут выйти, потому что мы им не довели выразиться. После высвобождения чувствуешь себя очень хорошо и свободно.Счастья Вам милые, все будет хорошо!!!)))", Екатерина ," 20 января 2018, 19:37 ",Depression,
"Я таблетки пила японские, депрессии нет теперь даже если все идет не по плану, сильный стимулятор совместно с техниками очень действенно , погуглите может найдете название Shican", Loginnvkz ," 29 января 2018, 13:24 ",Depression,
Пиво пей и депрессии как не было 🍻, Пивко ," 02 марта 2018, 20:43 ",Depression,
"ноги бы поотрывала таким""умницам""обесценивалки идиотские", гость5643 ," 22 мая 2018, 14:13 ",Depression,
"Попейте натуральные успокоительные, мне например хорошо помогает триптофан эваларовский, очень хорошо справляется с депрессией, бессонницей. Попьёте месяцок и всё придёт в норму.", Катерина ," 25 июня 2018, 18:17 ",Depression,
"Здравствуйте,Я с детства страдаю неврозами, много времени проводила в больницах. В сознательном возрасте к специалистам не обращалась. Прбовала только альтернативные практики работы с собой и рэйки. Результат был, но коротковременный. Из медикаментов иногда принимала Лексотанил (когда совсем невозможно справиться со своими состояниями) или курила травку. Организовать свою жизнь так что бы не было никаких стрессовых факторов для моей сверхчувствительной натуры не является возможным. А теперь я жду ребеночка и употреблять лекарства и травку курить не в помощь как говорится.Кто лечился и вылечился без лекарств, поделитесь свои опытом, куда ходили к кому обращались, над чем работали, сколько времени на это ушло? Если есть желание поделиться личной историей могу дать свой скайп.", Мед ," 01 июля 2018, 18:49 ",Depression,
"Гениально👍От депрессии лёгкой возможно поможет, но цирроз печени заработать будет очень легко), так как пить прийдется много(", Антонио ," 13 июля 2018, 19:08 ",Depression,Пиво пей и депрессии как не было 🍻
"Нужно идти к психотерапевту, а не к психиатру. Мне от депрессии помогает афобазол", Валерия ," 20 августа 2018, 11:42 ",Depression,
"У меня диагностированная депрессия. Скажите пожалуйста, почему не было мысли обратиться к врачу - психиатру/психотерепевту?", Сергей ," 24 августа 2018, 14:06 ",Depression,"вообще депрессию диагностирует невропатолог ( у меня мама работает, так они даже в стат. талонах ставят номер болезни по классификатору и расшифровку - депрессия). я к врачам не обращалась, пила сначала афобазол, глицин по 3 раза каждый, потом растительный какой-то на ""р"", потом уволилась, 3 месяца отсыпалась только, был реальный упадок сил, была дико злая, раздраженная, ничего не радовало, спорт не помогал, потом съездила на море, вот оно-то меня и вытащило из депри!!! т.е. смена обстановки - солнце постоянно, доброжелательные люди и т.п., я тебе желаю вытащить себя из этого состояния, у меня приятельница глицин форте принимала, ей он помог, и не стесняйся сходить к невропатологу, пропишет медикаменты, может у тебя на фоне чего-то депрессия (гормоны или ещё что)."
У меня диагностированная депрессия. Почему не было мысли обратиться к врачу - психиатру/психотерапевту?, Сергей ," 24 августа 2018, 14:11 ",Depression,"У меня депрессии хронические.По большей части связанные с отсутствием нормальной личной жизни. Поэтому мне помогает только спорт,хобби и работа, работа,работа.Чтобы времени не оставалось на мысли разные. Антидепрессанты не пейте,привыкаешь к ним.Как бросаешь,ломка начинается."
У меня диагностированная депрессия. Почему не было мысли обратиться к врачу - психиатру/психотерапевту?, Сергей ," 24 августа 2018, 14:14 ",Depression,а где найти этот препарат . депрессия замучила . пью селектру мало помогает .
Я пью феварин. Но мне назначил врач. Мне кажется опасно назначать самому себе препараты. Вы не хотели обратиться к специалисту?, Сергей ," 24 августа 2018, 14:15 ",Depression,Соня не начинайте пробуйте куркумин всм 95 оч сильный быстрый эффект пишите мне отвечу подробно
"Здравствуйте, сочувствую муки и вашей проблеме, как сейчас дела?", Милена ," 26 августа 2018, 20:16 ",Depression,
